row_id,name,startdate,enddate,description,eventattendancemode,page_url
220,31,108,106,665,0,272
221,32,107,105,664,0,272
222,47,58,56,677,0,272
223,37,127,125,657,0,272
224,38,88,86,675,0,272
225,39,45,44,694,0,272
226,33,47,45,670,0,272
227,34,132,130,672,0,272
228,36,134,132,671,0,272
229,35,133,131,671,0,272
230,51,79,77,687,0,272
231,53,121,119,679,0,272
232,54,155,153,685,0,272
233,54,156,154,685,0,272
234,55,158,156,701,0,272
235,57,49,49,661,0,272
236,58,44,42,699,0,272
237,65,64,62,717,0,272
238,70,166,163,691,0,272
239,80,207,205,669,0,272
240,80,208,206,668,0,272
241,80,209,207,668,0,272
242,142,206,204,668,0,272
243,78,180,178,693,0,272
244,75,38,38,688,0,272
245,75,40,39,686,0,272
246,75,41,40,688,0,272
247,75,37,36,688,0,272
248,82,8,8,689,0,272
249,83,102,100,695,0,272
250,87,171,169,713,0,272
251,88,9,9,651,0,272
252,90,196,194,656,0,272
253,89,198,196,656,0,272
254,91,197,195,656,0,272
255,148,201,199,706,0,272
256,150,230,228,710,0,272
257,86,183,181,698,0,272
258,153,128,126,676,0,272
259,153,114,112,676,0,272
260,152,105,103,690,0,272
261,92,43,43,700,0,272
262,92,39,41,652,0,272
263,98,125,123,702,0,272
264,103,148,146,703,0,272
265,103,149,147,703,0,272
266,104,147,145,704,0,272
267,120,219,217,684,0,272
268,120,218,216,684,0,272
269,120,217,215,684,0,272
270,105,3,3,705,0,272
271,106,173,171,680,0,272
272,113,160,158,660,0,272
273,108,194,192,696,0,272
274,111,193,191,666,0,272
275,111,213,211,709,0,272
276,112,15,15,682,0,272
277,112,17,17,682,0,272
278,112,16,16,682,0,272
279,112,14,14,682,0,272
280,135,161,159,673,0,272
281,24,124,122,708,0,272
282,24,123,121,708,0,272
283,24,122,120,708,0,272
284,134,33,33,714,0,272
285,138,137,135,678,0,272
286,18,235,233,707,0,272
287,20,23,23,715,0,272
288,73,66,64,2698,0,130
289,41,175,173,2698,0,81
290,0,112,110,374,0,3
291,5,31,31,370,0,3
292,5,30,30,370,0,3
293,11,111,109,375,0,3
294,9,73,71,397,0,3
295,21,2,2,383,0,3
296,10,154,152,401,0,3
297,14,142,139,371,0,3
298,12,143,140,371,0,3
299,13,141,138,413,0,3
300,17,113,111,408,0,3
301,144,78,76,399,0,3
302,144,77,75,432,0,3
303,145,22,22,428,0,3
304,145,21,21,427,0,3
305,146,20,20,434,0,3
306,22,86,84,390,0,3
307,23,24,24,378,0,3
308,1,97,94,365,0,3
309,1,95,93,364,0,3
310,2,98,96,366,0,3
311,9,72,70,397,0,3
312,26,69,67,397,0,3
313,9,71,69,397,0,3
314,141,103,101,379,0,3
315,29,103,101,369,0,3
316,30,106,104,380,0,3
317,31,103,101,379,0,3
318,31,108,106,381,0,3
319,32,107,105,380,0,3
320,47,58,56,393,0,3
321,37,127,125,373,0,3
322,38,88,86,391,0,3
323,39,45,44,410,0,3
324,33,47,45,386,0,3
325,34,132,130,388,0,3
326,36,134,132,387,0,3
327,35,133,131,387,0,3
328,51,79,77,403,0,3
329,53,121,119,395,0,3
330,54,155,153,401,0,3
331,54,156,154,401,0,3
332,55,158,156,417,0,3
333,57,49,49,377,0,3
334,58,44,42,415,0,3
335,65,64,62,433,0,3
336,70,166,163,407,0,3
337,80,207,205,385,0,3
338,80,208,206,384,0,3
339,80,209,207,384,0,3
340,142,206,204,384,0,3
341,78,180,178,409,0,3
342,75,38,38,404,0,3
343,75,40,39,402,0,3
344,75,41,40,404,0,3
345,75,37,36,404,0,3
346,82,8,8,405,0,3
347,83,102,100,411,0,3
348,87,171,169,429,0,3
349,88,9,9,367,0,3
350,90,196,194,372,0,3
351,89,198,196,372,0,3
352,91,197,195,372,0,3
353,148,201,199,422,0,3
354,150,230,228,426,0,3
355,86,183,181,414,0,3
356,153,128,126,392,0,3
357,153,114,112,392,0,3
358,152,105,103,406,0,3
359,92,43,43,416,0,3
360,92,39,41,368,0,3
361,98,125,123,418,0,3
362,103,148,146,419,0,3
363,103,149,147,419,0,3
364,104,147,145,420,0,3
365,120,219,217,400,0,3
366,120,218,216,400,0,3
367,120,217,215,400,0,3
368,105,3,3,421,0,3
369,106,173,171,396,0,3
370,113,160,158,376,0,3
371,108,194,192,412,0,3
372,111,193,191,382,0,3
373,111,213,211,425,0,3
374,112,15,15,398,0,3
375,112,17,17,398,0,3
376,112,16,16,398,0,3
377,112,14,14,398,0,3
378,135,161,159,389,0,3
379,24,124,122,424,0,3
380,24,123,121,424,0,3
381,24,122,120,424,0,3
382,134,33,33,430,0,3
383,138,137,135,394,0,3
384,18,235,233,423,0,3
385,20,23,23,431,0,3
386,72,255,253,2698,0,128
387,46,35,35,2698,0,74
388,39,45,44,1361,0,79
389,116,249,247,2698,0,222
390,71,84,82,1356,0,127
391,27,116,114,1917,0,59
392,48,60,58,2698,0,86
393,0,112,110,2352,0,277
394,5,31,31,2348,0,277
395,5,30,30,2348,0,277
396,11,111,109,2353,0,277
397,9,73,71,2375,0,277
398,21,2,2,2361,0,277
399,10,154,152,2379,0,277
400,14,142,139,2349,0,277
401,12,143,140,2349,0,277
402,13,141,138,2391,0,277
403,17,113,111,2386,0,277
404,144,78,76,2377,0,277
405,144,77,75,2410,0,277
406,145,22,22,2406,0,277
407,145,21,21,2405,0,277
408,146,20,20,2412,0,277
409,22,86,84,2368,0,277
410,23,24,24,2356,0,277
411,1,97,94,2343,0,277
412,1,95,93,2342,0,277
413,2,98,96,2344,0,277
414,9,72,70,2375,0,277
415,26,69,67,2375,0,277
416,9,71,69,2375,0,277
417,141,103,101,2357,0,277
418,29,103,101,2347,0,277
419,30,106,104,2358,0,277
420,31,103,101,2357,0,277
