row_id,name,startdate,enddate,location,description,image,performer,page_url
3146,1827,1158,1186,0,921,723,0,2237
3147,2304,447,457,0,5021,2223,0,4376
3148,1094,1549,1586,0,829,2042,0,2374
3149,601,118,118,0,2093,1137,0,36
3150,2648,811,833,0,1511,2361,0,1803
3151,1444,130,132,0,3009,2060,0,49
3152,3804,699,720,0,2777,2361,0,1416
3153,1148,1552,1588,0,839,1779,0,2414
3154,1655,184,182,0,3194,1613,0,2505
3155,1695,559,576,0,4871,642,0,2720
3156,783,607,626,0,2660,2361,0,2803
3157,4683,1234,1269,0,187,2110,0,5257
3158,2535,1420,1463,0,102,168,0,352
3159,3958,1105,1140,0,2055,708,0,2156
3160,962,1532,1579,0,2612,412,0,4028
3161,2419,772,791,0,4135,2361,0,1537
3162,1647,1433,1475,0,4237,2041,0,4124
3163,4265,1517,1557,0,673,1018,0,4164
3164,4068,772,791,0,2499,2361,0,1481
3165,4180,820,841,0,4728,2361,0,5115
3166,1856,1257,1297,0,1341,104,0,502
3167,2382,1757,1803,0,119,1813,0,635
3168,4294,903,927,0,4074,1490,0,1422
3169,526,1205,1237,0,1384,1955,0,2265
3170,2525,661,681,0,3145,569,0,2727
3171,1254,921,945,0,1442,840,0,3794
3172,527,165,166,0,707,648,0,58
3173,3334,558,574,0,3688,428,0,1129
3174,3780,772,791,0,3118,2361,0,1723
3175,4755,658,676,0,4876,2228,0,1352
3176,3343,772,791,0,1572,2361,0,3229
3177,4804,530,542,0,697,1039,0,4350
3178,3237,644,664,0,3891,2361,0,4550
3179,3795,819,840,0,2345,2361,0,3424
3180,1099,906,930,0,4095,748,0,287
3181,955,453,463,0,4802,882,0,4365
3182,2357,631,650,0,1040,754,0,4526
3183,2545,1599,1638,0,4129,1054,0,749
3184,13,771,789,0,1244,2361,0,3000
3185,1832,704,724,0,253,338,0,2966
3186,3084,699,720,0,2769,2361,0,1404
3187,3342,772,791,0,3317,2361,0,1545
3188,190,1527,1566,0,4531,1717,0,830
