row_id,name,startdate,enddate,location,description,eventattendancemode,offers,organizer,performer,page_url
142,15,110,103,0,14,0,0,0,0,196
143,18,120,122,0,88,0,0,0,0,196
144,18,120,122,0,88,0,0,0,0,196
145,4,126,123,0,28,0,0,0,0,196
146,14,131,127,0,18,0,0,0,0,196
147,18,120,122,0,88,0,0,0,0,1085
148,18,120,122,0,88,0,0,0,0,1085
149,4,126,123,0,28,0,0,0,0,1085
150,14,131,127,0,18,0,0,0,0,1085
151,53,93,88,0,24,0,0,0,0,50
152,20,96,91,0,20,0,0,0,0,50
153,15,110,103,0,14,0,0,0,0,50
154,18,120,122,0,88,0,0,0,0,50
155,18,120,122,0,88,0,0,0,0,50
156,4,126,123,0,28,0,0,0,0,50
157,14,131,127,0,18,0,0,0,0,50
158,53,93,88,0,24,0,0,0,0,189
159,20,96,91,0,20,0,0,0,0,189
160,15,110,103,0,14,0,0,0,0,189
161,18,120,122,0,88,0,0,0,0,189
162,18,120,122,0,88,0,0,0,0,189
163,4,126,123,0,28,0,0,0,0,189
164,14,131,127,0,18,0,0,0,0,189
165,9,29,28,0,17,0,0,0,0,287
166,53,93,88,0,24,0,0,0,0,171
167,20,96,91,0,20,0,0,0,0,171
168,15,110,103,0,14,0,0,0,0,171
169,18,120,122,0,88,0,0,0,0,171
170,18,120,122,0,88,0,0,0,0,171
171,4,126,123,0,28,0,0,0,0,171
172,14,131,127,0,18,0,0,0,0,171
173,18,120,122,0,88,0,0,0,0,627
174,18,120,122,0,88,0,0,0,0,627
175,4,126,123,0,28,0,0,0,0,627
176,14,131,127,0,18,0,0,0,0,627
177,53,93,88,0,24,0,0,0,0,681
178,20,96,91,0,20,0,0,0,0,681
179,15,110,103,0,14,0,0,0,0,681
180,18,120,122,0,88,0,0,0,0,681
181,18,120,122,0,88,0,0,0,0,681
182,4,126,123,0,28,0,0,0,0,681
183,14,131,127,0,18,0,0,0,0,681
184,22,125,121,0,12,0,1,0,0,308
185,30,173,173,0,8,0,0,0,0,320
186,53,93,88,0,24,0,0,0,0,564
187,20,96,91,0,20,0,0,0,0,564
188,15,110,103,0,14,0,0,0,0,564
189,18,120,122,0,88,0,0,0,0,564
190,18,120,122,0,88,0,0,0,0,564
191,4,126,123,0,28,0,0,0,0,564
192,14,131,127,0,18,0,0,0,0,564
193,53,93,88,0,24,0,0,0,0,1164
194,20,96,91,0,20,0,0,0,0,1164
195,15,110,103,0,14,0,0,0,0,1164
196,18,120,122,0,88,0,0,0,0,1164
197,18,120,122,0,88,0,0,0,0,1164
198,4,126,123,0,28,0,0,0,0,1164
199,14,131,127,0,18,0,0,0,0,1164
200,53,93,88,0,24,0,0,0,0,999
201,20,96,91,0,20,0,0,0,0,999
202,15,110,103,0,14,0,0,0,0,999
203,18,120,122,0,88,0,0,0,0,999
204,18,120,122,0,88,0,0,0,0,999
205,4,126,123,0,28,0,0,0,0,999
206,14,131,127,0,18,0,0,0,0,999
207,53,93,88,0,24,0,0,0,0,647
208,20,96,91,0,20,0,0,0,0,647
209,15,110,103,0,14,0,0,0,0,647
210,18,120,122,0,88,0,0,0,0,647
211,18,120,122,0,88,0,0,0,0,647
212,4,126,123,0,28,0,0,0,0,647
213,14,131,127,0,18,0,0,0,0,647
214,53,93,88,0,24,0,0,0,0,1161
215,20,96,91,0,20,0,0,0,0,1161
216,15,110,103,0,14,0,0,0,0,1161
217,18,120,122,0,88,0,0,0,0,1161
218,18,120,122,0,88,0,0,0,0,1161
219,4,126,123,0,28,0,0,0,0,1161
220,14,131,127,0,18,0,0,0,0,1161
221,53,93,88,0,24,0,0,0,0,973
222,20,96,91,0,20,0,0,0,0,973
223,15,110,103,0,14,0,0,0,0,973
224,18,120,122,0,88,0,0,0,0,973
225,18,120,122,0,88,0,0,0,0,973
226,4,126,123,0,28,0,0,0,0,973
227,14,131,127,0,18,0,0,0,0,973
228,53,93,88,0,24,0,0,0,0,756
229,20,96,91,0,20,0,0,0,0,756
230,15,110,103,0,14,0,0,0,0,756
231,18,120,122,0,88,0,0,0,0,756
232,18,120,122,0,88,0,0,0,0,756
233,4,126,123,0,28,0,0,0,0,756
234,14,131,127,0,18,0,0,0,0,756
235,18,120,122,0,88,0,0,0,0,962
236,18,120,122,0,88,0,0,0,0,962
237,4,126,123,0,28,0,0,0,0,962
238,14,131,127,0,18,0,0,0,0,962
239,53,93,88,0,24,0,0,0,0,1008
240,20,96,91,0,20,0,0,0,0,1008
241,15,110,103,0,14,0,0,0,0,1008
242,18,120,122,0,88,0,0,0,0,1008
243,18,120,122,0,88,0,0,0,0,1008
244,4,126,123,0,28,0,0,0,0,1008
245,14,131,127,0,18,0,0,0,0,1008
246,53,93,88,0,24,0,0,0,0,643
247,20,96,91,0,20,0,0,0,0,643
248,15,110,103,0,14,0,0,0,0,643
249,18,120,122,0,88,0,0,0,0,643
250,18,120,122,0,88,0,0,0,0,643
251,4,126,123,0,28,0,0,0,0,643
252,14,131,127,0,18,0,0,0,0,643
253,53,93,88,0,24,0,0,0,0,835
254,20,96,91,0,20,0,0,0,0,835
255,15,110,103,0,14,0,0,0,0,835
256,18,120,122,0,88,0,0,0,0,835
257,18,120,122,0,88,0,0,0,0,835
258,4,126,123,0,28,0,0,0,0,835
259,14,131,127,0,18,0,0,0,0,835
260,53,93,88,0,24,0,0,0,0,1005
261,20,96,91,0,20,0,0,0,0,1005
262,15,110,103,0,14,0,0,0,0,1005
263,18,120,122,0,88,0,0,0,0,1005
264,18,120,122,0,88,0,0,0,0,1005
265,4,126,123,0,28,0,0,0,0,1005
266,14,131,127,0,18,0,0,0,0,1005
267,53,93,88,0,24,0,0,0,0,203
268,20,96,91,0,20,0,0,0,0,203
269,15,110,103,0,14,0,0,0,0,203
270,18,120,122,0,88,0,0,0,0,203
271,18,120,122,0,88,0,0,0,0,203
272,4,126,123,0,28,0,0,0,0,203
273,14,131,127,0,18,0,0,0,0,203
274,53,93,88,0,24,0,0,0,0,101
275,20,96,91,0,20,0,0,0,0,101
276,15,110,103,0,14,0,0,0,0,101
277,18,120,122,0,88,0,0,0,0,101
278,18,120,122,0,88,0,0,0,0,101
279,4,126,123,0,28,0,0,0,0,101
280,14,131,127,0,18,0,0,0,0,101
281,18,120,122,0,88,0,0,0,0,94
282,18,120,122,0,88,0,0,0,0,94
