row_id,name,startdate,enddate,location,description,eventattendancemode,eventstatus,organizer,url,mainentityofpage,page_url
5810,626,6131,6407,0,4856,0,0,0,0,0,17078
5811,1720,589,577,0,4485,0,0,0,0,0,17127
5812,3211,6856,7146,1,2648,0,0,1,0,0,13860
5813,10050,8710,9078,0,4635,0,0,1,0,0,4609
5814,711,866,873,0,5960,0,0,1,0,0,6846
5815,4256,4066,4296,0,5960,0,0,1,0,0,9133
5816,6466,3657,3861,1,623,0,0,1,0,0,10399
5817,6772,10097,10553,1,5960,0,0,0,0,0,10612
5818,6889,9448,9841,1,5960,0,0,0,0,0,10648
5819,7231,7699,8012,1,2153,0,0,1,0,0,10930
5820,6933,1336,1370,0,998,0,0,0,0,0,12944
5821,5925,1813,1874,0,1062,0,0,0,0,0,16011
5822,7251,9186,9564,0,1804,0,0,0,0,0,670
5823,119,7477,7784,0,1089,0,0,0,0,0,4197
5824,2044,5345,5597,0,5960,0,0,1,0,0,8271
5825,1351,1945,2010,0,3722,0,0,1,0,0,7154
5826,7122,2278,2376,0,3791,0,0,1,0,0,10825
5827,1849,731,730,0,5960,0,0,1,0,0,7442
5828,2854,2034,2102,0,3748,0,0,1,0,0,8105
5829,3433,855,859,0,5960,0,0,1,0,0,8277
5830,1092,1602,1661,0,1078,0,0,0,0,0,12498
5831,3012,11882,12358,0,1810,0,0,0,0,0,2218
5832,2664,10875,11375,1,5659,0,0,1,0,0,6559
5833,2780,6938,7231,1,5960,0,0,1,0,0,8146
5834,3485,8472,8833,0,2454,0,0,0,0,0,2589
5835,3880,2575,2716,0,5960,0,0,1,0,0,8832
5836,4431,3450,3630,0,5960,0,0,1,0,0,9379
5837,2788,115,115,1,1102,0,0,1,0,0,13975
5838,9818,2088,2171,0,4801,0,0,0,0,0,14259
5839,5260,4752,4989,0,2186,0,0,1,0,0,15942
5840,10293,4012,4228,1,5960,0,0,1,0,0,12315
5841,871,9016,9401,0,5960,0,0,1,0,0,14527
5842,2914,302,301,1,5960,0,0,1,0,0,15609
5843,2489,4576,4816,1,5960,0,0,1,0,0,5004
5844,6960,7350,7651,1,2523,0,0,0,0,0,3341
5845,951,4811,5048,0,5259,0,0,0,0,0,16446
5846,9165,2699,2847,1,1577,0,0,0,0,0,16638
5847,8074,10275,10732,0,4378,0,0,0,0,0,761
5848,9770,9965,10410,0,5673,0,0,1,0,0,4515
5849,7274,10519,10999,0,4300,0,0,1,0,0,13482
5850,7582,2769,2916,0,4533,0,0,0,0,0,14113
5851,5806,2663,2807,0,4375,0,0,0,0,0,437
5852,6331,7089,7389,0,861,0,0,0,0,0,598
5853,9873,9148,9526,0,1519,0,0,0,0,0,4553
5854,84,169,171,1,4196,0,0,1,0,0,14070
5855,8408,1701,1756,0,1614,0,0,0,0,0,14180
5856,2341,2874,3027,0,754,0,0,1,0,0,15797
5857,9053,7866,8200,0,1354,0,0,0,0,0,17710
5858,722,1281,1314,0,3981,0,0,0,0,0,12463
5859,6593,3363,3537,0,5960,0,0,0,0,0,12915
5860,2515,11428,11920,0,1449,0,0,1,0,0,14981
5861,3352,6320,6604,1,2479,0,0,1,0,0,6627
5862,3652,7449,7754,1,2153,0,0,1,0,0,8372
5863,8061,7530,7843,1,2153,0,0,1,0,0,11248
5864,5289,6920,7214,0,2021,0,0,1,0,0,13656
5865,4745,2506,2636,0,5960,0,0,1,0,0,9809
5866,6069,7696,8010,1,2153,0,0,1,0,0,10294
5867,5353,3366,3541,0,4036,0,0,0,0,0,12704
5868,7032,9605,10016,1,5960,0,0,0,0,0,10730
5869,10087,9846,10282,1,5960,0,0,0,0,0,12169
5870,8074,10364,10832,0,4378,0,0,0,0,0,3802
5871,6081,11246,11750,0,5632,0,0,0,0,0,3108
5872,8962,11748,12235,0,3292,0,0,0,0,0,4087
5873,8996,12688,13179,1,1251,0,0,1,0,0,4170
5874,7666,1753,1808,0,760,0,0,0,0,0,751
5875,934,12116,12592,0,4973,0,0,0,0,0,56
5876,9451,3310,3484,0,4190,0,0,0,0,0,985
5877,3352,6390,6678,1,2479,0,0,1,0,0,6625
5878,168,9567,9990,0,1431,0,0,0,0,0,12613
5879,9893,7700,8022,1,5960,0,0,1,0,0,15405
