row_id,name,startdate,enddate,location,description,eventattendancemode,eventstatus,image,offers,page_url
0,31,117,107,0,173,0,0,0,0,552
1,115,117,107,0,172,0,0,0,0,552
2,114,115,105,0,163,0,0,0,0,552
3,97,108,102,0,73,0,0,0,0,552
4,80,111,102,0,68,0,0,0,0,552
5,36,119,109,0,154,0,0,0,0,552
6,97,111,102,0,73,0,0,0,0,552
7,167,114,104,1,152,0,0,0,0,552
8,80,108,102,0,68,0,0,0,0,552
9,140,111,101,1,138,0,0,0,0,552
10,52,112,102,0,141,0,0,0,0,552
11,50,124,114,0,165,0,0,0,0,552
12,54,121,111,1,158,0,0,0,0,552
13,74,118,108,0,176,0,0,0,0,552
14,80,109,102,0,68,0,0,0,0,552
15,79,113,103,0,144,0,0,0,0,552
16,19,118,108,1,174,0,0,0,0,552
17,121,117,107,0,171,0,0,0,0,552
18,44,123,113,0,161,0,0,0,0,552
19,126,110,100,0,136,0,0,0,0,552
20,97,109,102,0,73,0,0,0,0,552
21,80,110,102,0,68,0,0,0,0,552
22,16,126,116,0,168,0,0,0,0,552
23,27,127,117,0,44,0,0,0,0,552
24,159,118,108,1,175,0,0,0,0,552
25,80,112,102,0,68,0,0,0,0,552
26,110,111,101,0,139,0,0,0,0,552
27,88,113,103,0,145,0,0,0,0,552
28,123,121,111,1,159,0,0,0,0,552
29,97,110,102,0,73,0,0,0,0,552
30,127,125,115,0,166,0,0,0,0,552
31,58,110,100,1,137,0,0,0,0,552
32,6,109,99,0,135,0,0,0,0,552
33,60,119,109,0,153,0,0,0,0,552
34,97,112,102,0,73,0,0,0,0,552
35,34,122,112,0,160,0,0,0,0,552
36,111,111,101,0,140,0,0,0,0,552
37,55,96,91,1,33,0,0,0,0,184
38,167,114,104,1,152,0,0,0,0,184
39,0,92,87,0,122,0,0,0,0,184
40,24,90,86,0,69,0,0,0,0,184
41,107,104,95,0,125,0,0,0,0,184
42,55,99,91,1,33,0,0,0,0,184
43,79,113,103,0,144,0,0,0,0,184
44,155,93,88,1,143,0,0,0,0,184
45,88,113,103,0,145,0,0,0,0,184
46,55,100,91,1,33,0,0,0,0,184
47,65,107,98,1,132,0,0,0,0,184
48,55,98,91,1,33,0,0,0,0,184
49,3,100,91,0,116,0,0,0,0,184
50,55,97,91,1,33,0,0,0,0,184
51,24,87,86,0,69,0,0,0,0,184
52,24,89,86,0,69,0,0,0,0,184
53,24,88,86,0,69,0,0,0,0,184
54,107,103,95,0,125,0,0,0,0,184
55,118,101,92,1,120,0,0,0,0,184
56,55,97,91,1,33,0,0,0,0,837
57,107,103,95,0,125,0,0,0,0,837
58,88,113,103,0,145,0,0,0,0,837
59,24,88,86,0,69,0,0,0,0,837
60,118,101,92,1,120,0,0,0,0,837
61,24,87,86,0,69,0,0,0,0,837
62,107,104,95,0,125,0,0,0,0,837
63,55,100,91,1,33,0,0,0,0,837
64,89,24,24,0,150,0,0,0,0,837
65,3,100,91,0,116,0,0,0,0,837
66,24,90,86,0,69,0,0,0,0,837
67,55,98,91,1,33,0,0,0,0,837
68,0,92,87,0,122,0,0,0,0,837
69,55,96,91,1,33,0,0,0,0,837
70,55,99,91,1,33,0,0,0,0,837
71,79,113,103,0,144,0,0,0,0,837
72,24,89,86,0,69,0,0,0,0,837
73,167,114,104,1,152,0,0,0,0,837
74,155,93,88,1,143,0,0,0,0,837
75,65,107,98,1,132,0,0,0,0,837
76,140,111,101,1,138,0,0,0,0,821
77,60,119,109,0,153,0,0,0,0,821
78,80,110,102,0,68,0,0,0,0,821
79,58,110,100,1,137,0,0,0,0,821
80,97,108,102,0,73,0,0,0,0,821
81,36,119,109,0,154,0,0,0,0,821
82,97,109,102,0,73,0,0,0,0,821
83,19,118,108,1,174,0,0,0,0,821
84,114,115,105,0,163,0,0,0,0,821
85,88,113,103,0,145,0,0,0,0,821
86,44,123,113,0,161,0,0,0,0,821
87,79,113,103,0,144,0,0,0,0,821
88,27,127,117,0,44,0,0,0,0,821
89,97,110,102,0,73,0,0,0,0,821
90,74,118,108,0,176,0,0,0,0,821
91,159,118,108,1,175,0,0,0,0,821
92,16,126,116,0,168,0,0,0,0,821
93,31,117,107,0,173,0,0,0,0,821
94,110,111,101,0,139,0,0,0,0,821
95,80,109,102,0,68,0,0,0,0,821
96,6,109,99,0,135,0,0,0,0,821
97,34,122,112,0,160,0,0,0,0,821
98,115,117,107,0,172,0,0,0,0,821
99,54,121,111,1,158,0,0,0,0,821
100,80,111,102,0,68,0,0,0,0,821
101,126,110,100,0,136,0,0,0,0,821
102,127,125,115,0,166,0,0,0,0,821
103,80,108,102,0,68,0,0,0,0,821
104,167,114,104,1,152,0,0,0,0,821
105,80,112,102,0,68,0,0,0,0,821
106,77,70,70,1,107,0,0,0,0,821
107,111,111,101,0,140,0,0,0,0,821
108,97,111,102,0,73,0,0,0,0,821
109,121,117,107,0,171,0,0,0,0,821
110,97,112,102,0,73,0,0,0,0,821
111,52,112,102,0,141,0,0,0,0,821
112,50,124,114,0,165,0,0,0,0,821
113,123,121,111,1,159,0,0,0,0,821
114,155,93,88,1,143,0,0,0,0,665
115,55,96,91,1,33,0,0,0,0,665
116,24,87,86,0,69,0,0,0,0,665
117,55,98,91,1,33,0,0,0,0,665
118,24,90,86,0,69,0,0,0,0,665
119,55,99,91,1,33,0,0,0,0,665
120,24,88,86,0,69,0,0,0,0,665
121,24,89,86,0,69,0,0,0,0,665
122,55,100,91,1,33,0,0,0,0,665
123,107,103,95,0,125,0,0,0,0,665
124,0,92,87,0,122,0,0,0,0,665
125,65,107,98,1,132,0,0,0,0,665
126,88,113,103,0,145,0,0,0,0,665
127,79,113,103,0,144,0,0,0,0,665
128,167,114,104,1,152,0,0,0,0,665
129,55,97,91,1,33,0,0,0,0,665
130,107,104,95,0,125,0,0,0,0,665
131,118,101,92,1,120,0,0,0,0,665
132,3,100,91,0,116,0,0,0,0,665
133,36,119,109,0,154,0,0,0,0,579
134,97,110,102,0,73,0,0,0,0,579
135,58,110,100,1,137,0,0,0,0,579
136,80,110,102,0,68,0,0,0,0,579
137,52,112,102,0,141,0,0,0,0,579
138,127,125,115,0,166,0,0,0,0,579
139,34,122,112,0,160,0,0,0,0,579
140,80,108,102,0,68,0,0,0,0,579
141,60,119,109,0,153,0,0,0,0,579
142,16,126,116,0,168,0,0,0,0,579
143,140,111,101,1,138,0,0,0,0,579
144,167,114,104,1,152,0,0,0,0,579
145,88,113,103,0,145,0,0,0,0,579
146,44,123,113,0,161,0,0,0,0,579
147,114,115,105,0,163,0,0,0,0,579
148,19,118,108,1,174,0,0,0,0,579
149,54,121,111,1,158,0,0,0,0,579
150,110,111,101,0,139,0,0,0,0,579
151,97,112,102,0,73,0,0,0,0,579
152,123,121,111,1,159,0,0,0,0,579
153,80,109,102,0,68,0,0,0,0,579
154,50,124,114,0,165,0,0,0,0,579
155,126,110,100,0,136,0,0,0,0,579
156,79,113,103,0,144,0,0,0,0,579
157,97,111,102,0,73,0,0,0,0,579
158,111,111,101,0,140,0,0,0,0,579
159,80,111,102,0,68,0,0,0,0,579
160,97,108,102,0,73,0,0,0,0,579
161,74,118,108,0,176,0,0,0,0,579
162,31,117,107,0,173,0,0,0,0,579
163,97,109,102,0,73,0,0,0,0,579
164,159,118,108,1,175,0,0,0,0,579
165,121,117,107,0,171,0,0,0,0,579
166,115,117,107,0,172,0,0,0,0,579
167,80,112,102,0,68,0,0,0,0,579
168,6,109,99,0,135,0,0,0,0,579
169,27,127,117,0,44,0,0,0,0,579
170,88,113,103,0,145,0,0,0,0,328
171,79,113,103,0,144,0,0,0,0,328
172,118,101,92,1,120,0,0,0,0,328
173,3,100,91,0,116,0,0,0,0,328
174,65,107,98,1,132,0,0,0,0,328
175,58,110,100,1,137,0,0,0,0,328
176,55,99,91,1,33,0,0,0,0,328
177,55,100,91,1,33,0,0,0,0,328
178,24,90,86,0,69,0,0,0,0,328
179,55,96,91,1,33,0,0,0,0,328
180,107,104,95,0,125,0,0,0,0,328
181,155,93,88,1,143,0,0,0,0,328
182,24,87,86,0,69,0,0,0,0,328
183,107,103,95,0,125,0,0,0,0,328
184,24,88,86,0,69,0,0,0,0,328
185,24,89,86,0,69,0,0,0,0,328
186,55,97,91,1,33,0,0,0,0,328
187,55,98,91,1,33,0,0,0,0,328
188,0,92,87,0,122,0,0,0,0,328
189,167,114,104,1,152,0,0,0,0,328
190,126,110,100,0,136,0,0,0,0,633
191,97,109,102,0,73,0,0,0,0,633
192,97,110,102,0,73,0,0,0,0,633
193,140,111,101,1,138,0,0,0,0,633
194,50,124,114,0,165,0,0,0,0,633
195,115,117,107,0,172,0,0,0,0,633
196,74,118,108,0,176,0,0,0,0,633
197,123,121,111,1,159,0,0,0,0,633
198,114,115,105,0,163,0,0,0,0,633
199,80,109,102,0,68,0,0,0,0,633
200,127,125,115,0,166,0,0,0,0,633
201,58,110,100,1,137,0,0,0,0,633
202,80,112,102,0,68,0,0,0,0,633
203,80,108,102,0,68,0,0,0,0,633
204,27,127,117,0,44,0,0,0,0,633
205,110,111,101,0,139,0,0,0,0,633
206,44,123,113,0,161,0,0,0,0,633
207,34,122,112,0,160,0,0,0,0,633
208,88,113,103,0,145,0,0,0,0,633
209,167,114,104,1,152,0,0,0,0,633
210,31,117,107,0,173,0,0,0,0,633
211,60,119,109,0,153,0,0,0,0,633
212,97,108,102,0,73,0,0,0,0,633
213,54,121,111,1,158,0,0,0,0,633
