row_id,name,startdate,enddate,location,description,eventattendancemode,eventstatus,organizer,performer,duration,about,aggregaterating,page_url
1483,2521,7468,9666,0,12184,0,0,0,1452,50,12184,0,3961
1484,2694,9443,12468,0,11974,0,0,0,5014,37,11974,0,7422
1485,1682,2222,2561,0,4520,0,0,0,6924,19,4520,0,11579
1486,6704,4346,5362,0,12073,0,0,0,6390,54,12073,0,2216
1487,6591,7364,9541,0,9114,0,0,0,364,41,9114,0,2928
1488,1187,3727,4459,0,11429,0,0,0,10454,37,11429,0,10669
1489,10769,9874,13300,0,9602,0,0,0,3564,30,9602,0,393
1490,5609,9591,12712,0,8075,0,0,0,4089,52,8075,0,9574
1491,12063,6584,8544,0,1382,0,0,0,10679,93,1382,0,13339
1492,8897,656,725,0,9867,0,0,0,7191,39,9867,0,1118
1493,1959,4267,5229,0,8326,0,0,0,6849,51,8326,0,6349
1494,3936,1220,1347,0,10392,0,0,0,5279,71,10392,0,4970
1495,9933,953,1058,0,7365,0,0,0,7627,20,7365,0,12182
1496,12012,255,276,0,2365,0,0,0,2502,50,2365,0,732
1497,4383,6182,8003,0,2475,0,0,0,4897,38,2475,0,829
1498,4673,5032,6494,0,12477,0,0,0,1244,20,12477,0,4452
1499,9603,9721,13000,0,12352,0,0,0,7689,16,12352,0,7907
1500,1077,2,2,0,631,0,0,0,2852,38,631,0,1249
1501,12550,8831,11415,0,12198,0,0,0,11422,28,12198,0,9701
1502,2408,9810,13204,0,13,0,0,0,11010,17,13,0,5510
1503,565,9490,12535,0,5205,0,0,0,8910,51,5205,0,8920
1504,11054,7731,9976,0,9987,0,0,0,3510,29,9987,0,325
1505,11707,4014,4833,0,2741,0,0,0,2718,15,2741,0,1410
1506,1159,3174,3769,0,9563,0,0,0,10230,44,9563,0,7153
1507,5049,478,525,0,4317,0,0,0,9411,11,4317,0,1098
1508,12385,9300,12213,0,2437,0,0,0,3340,37,2437,0,9584
1509,12107,9163,12006,0,12123,0,0,0,10716,68,12123,0,9942
1510,10284,8109,10479,0,4525,0,0,0,4221,48,4525,0,12726
1511,8578,9735,13037,0,12336,0,0,0,4769,5,12336,0,12840
1512,6574,6268,8106,0,9127,0,0,0,9818,15,9127,0,2923
1513,1699,7769,10027,0,8483,0,0,0,9964,53,8483,0,3280
1514,11723,4234,5167,0,2048,0,0,0,6694,23,2048,0,3451
1515,6953,979,1084,0,6109,0,0,0,8512,60,6109,0,12503
1516,2059,4660,5962,0,5610,0,0,0,8800,61,5610,0,13722
1517,11672,7997,10324,0,3161,0,0,0,30,32,3161,0,8526
1518,10281,1244,1375,0,9854,0,0,0,5642,35,9854,0,77
1519,12037,1025,1134,0,6853,0,0,0,6306,49,6853,0,13288
1520,9506,4042,4877,0,1795,0,0,0,10260,2,1795,0,2060
1521,6849,4664,5975,0,6190,0,0,0,8052,60,6190,0,887
1522,5466,2435,2843,0,5003,0,0,0,10051,51,5003,0,5405
1523,3228,7928,10238,0,9346,0,0,0,6972,17,9346,0,9185
1524,8492,1006,1115,0,12653,0,0,1,5939,104,12653,0,3573
1525,6149,7852,10134,0,4678,0,0,0,10691,119,4678,0,703
1526,7449,4004,4822,0,4138,0,0,0,4299,11,4138,0,1591
1527,12806,4147,5029,0,12804,0,0,0,11562,50,12804,0,2257
1528,12766,9120,11930,0,12737,0,0,0,197,0,12737,0,10274
1529,5404,5592,7227,0,11506,0,0,0,3794,38,11506,0,12117
1530,11997,4272,5238,0,8464,0,0,0,885,53,8464,0,13014
1531,12426,9518,12592,0,11730,0,0,0,5159,37,11730,0,522
