row_id,name,startdate,enddate,location,description,eventattendancemode,eventstatus,image,offers,organizer,page_url
0,21,98,93,0,36,0,0,0,0,0,620
1,66,103,101,0,49,0,0,0,0,0,620
2,66,103,101,0,49,0,0,0,0,0,744
3,3,111,107,0,25,0,0,0,0,0,464
4,6,108,103,0,66,0,0,0,0,0,464
5,16,105,100,0,40,0,0,0,0,0,464
6,16,106,102,0,40,0,0,0,0,0,464
7,24,116,113,0,52,0,0,0,0,0,464
8,44,117,114,0,44,0,0,0,0,0,464
9,66,103,101,0,49,0,0,0,0,0,464
10,65,115,111,0,95,0,0,0,0,0,464
11,67,107,105,0,30,0,0,0,0,0,464
12,68,112,109,0,68,0,0,0,0,0,464
13,69,110,108,0,48,0,0,0,0,0,464
14,70,113,110,0,85,0,0,0,0,0,464
15,20,113,110,0,85,0,0,0,0,0,377
16,44,117,114,0,44,0,0,0,0,0,377
17,66,103,101,0,49,0,0,0,0,0,377
18,65,115,111,0,95,0,0,0,0,0,377
19,67,107,105,0,30,0,0,0,0,0,377
20,69,110,108,0,48,0,0,0,0,0,377
21,20,113,110,0,85,0,0,0,0,0,299
22,44,117,114,0,44,0,0,0,0,0,299
23,66,103,101,0,49,0,0,0,0,0,299
24,65,115,111,0,95,0,0,0,0,0,299
25,67,107,105,0,30,0,0,0,0,0,299
26,69,110,108,0,48,0,0,0,0,0,299
27,20,113,110,0,85,0,0,0,0,0,440
28,44,117,114,0,44,0,0,0,0,0,440
29,66,103,101,0,49,0,0,0,0,0,440
30,65,115,111,0,95,0,0,0,0,0,440
31,67,107,105,0,30,0,0,0,0,0,440
32,69,110,108,0,48,0,0,0,0,0,440
33,20,113,110,0,85,0,0,0,0,0,834
34,44,117,114,0,44,0,0,0,0,0,834
35,66,103,101,0,49,0,0,0,0,0,834
36,65,115,111,0,95,0,0,0,0,0,834
37,67,107,105,0,30,0,0,0,0,0,834
38,69,110,108,0,48,0,0,0,0,0,834
39,3,111,107,0,25,0,0,0,0,0,176
40,16,105,100,0,40,0,0,0,0,0,176
41,16,106,102,0,40,0,0,0,0,0,176
42,20,113,110,0,85,0,0,0,0,0,176
43,24,116,113,0,52,0,0,0,0,0,176
44,44,117,114,0,44,0,0,0,0,0,176
45,66,103,101,0,49,0,0,0,0,0,176
46,65,115,111,0,95,0,0,0,0,0,176
47,67,107,105,0,30,0,0,0,0,0,176
48,69,110,108,0,48,0,0,0,0,0,176
49,3,111,107,0,25,0,0,0,0,0,371
50,6,108,103,0,66,0,0,0,0,0,371
51,16,105,100,0,40,0,0,0,0,0,371
52,16,106,102,0,40,0,0,0,0,0,371
53,24,116,113,0,52,0,0,0,0,0,371
54,44,117,114,0,44,0,0,0,0,0,371
55,66,103,101,0,49,0,0,0,0,0,371
56,65,115,111,0,95,0,0,0,0,0,371
57,67,107,105,0,30,0,0,0,0,0,371
58,68,112,109,0,68,0,0,0,0,0,371
59,69,110,108,0,48,0,0,0,0,0,371
60,70,113,110,0,85,0,0,0,0,0,371
61,66,103,101,0,49,0,0,0,0,0,877
62,20,113,110,0,85,0,0,0,0,0,681
63,44,117,114,0,44,0,0,0,0,0,681
64,66,103,101,0,49,0,0,0,0,0,681
65,65,115,111,0,95,0,0,0,0,0,681
66,67,107,105,0,30,0,0,0,0,0,681
67,69,110,108,0,48,0,0,0,0,0,681
68,20,113,110,0,85,0,0,0,0,0,520
69,44,117,114,0,44,0,0,0,0,0,520
70,66,103,101,0,49,0,0,0,0,0,520
71,65,115,111,0,95,0,0,0,0,0,520
72,67,107,105,0,30,0,0,0,0,0,520
73,69,110,108,0,48,0,0,0,0,0,520
74,66,103,101,0,49,0,0,0,0,0,407
75,3,111,107,0,25,0,0,0,0,0,1001
76,16,105,100,0,40,0,0,0,0,0,1001
77,16,106,102,0,40,0,0,0,0,0,1001
78,24,116,113,0,52,0,0,0,0,0,1001
79,44,117,114,0,44,0,0,0,0,0,1001
80,66,103,101,0,49,0,0,0,0,0,1001
81,65,115,111,0,95,0,0,0,0,0,1001
82,67,107,105,0,30,0,0,0,0,0,1001
83,69,110,108,0,48,0,0,0,0,0,1001
84,70,113,110,0,85,0,0,0,0,0,1001
85,3,111,107,0,25,0,0,0,0,0,901
86,6,108,103,0,66,0,0,0,0,0,901
87,16,105,100,0,40,0,0,0,0,0,901
88,16,106,102,0,40,0,0,0,0,0,901
89,24,116,113,0,52,0,0,0,0,0,901
90,44,117,114,0,44,0,0,0,0,0,901
91,66,103,101,0,49,0,0,0,0,0,901
92,65,115,111,0,95,0,0,0,0,0,901
93,67,107,105,0,30,0,0,0,0,0,901
94,68,112,109,0,68,0,0,0,0,0,901
95,69,110,108,0,48,0,0,0,0,0,901
96,70,113,110,0,85,0,0,0,0,0,901
97,3,111,107,0,25,0,0,0,0,0,269
98,6,108,103,0,66,0,0,0,0,0,269
99,16,105,100,0,40,0,0,0,0,0,269
100,16,106,102,0,40,0,0,0,0,0,269
101,24,116,113,0,52,0,0,0,0,0,269
102,44,117,114,0,44,0,0,0,0,0,269
103,66,103,101,0,49,0,0,0,0,0,269
104,65,115,111,0,95,0,0,0,0,0,269
105,67,107,105,0,30,0,0,0,0,0,269
106,68,112,109,0,68,0,0,0,0,0,269
107,69,110,108,0,48,0,0,0,0,0,269
108,70,113,110,0,85,0,0,0,0,0,269
109,66,103,101,0,49,0,0,0,0,0,762
110,20,113,110,0,85,0,0,0,0,0,756
111,44,117,114,0,44,0,0,0,0,0,756
112,66,103,101,0,49,0,0,0,0,0,756
113,65,115,111,0,95,0,0,0,0,0,756
114,67,107,105,0,30,0,0,0,0,0,756
115,69,110,108,0,48,0,0,0,0,0,756
116,3,111,107,0,25,0,0,0,0,0,745
117,16,105,100,0,40,0,0,0,0,0,745
118,16,106,102,0,40,0,0,0,0,0,745
119,24,116,113,0,52,0,0,0,0,0,745
120,44,117,114,0,44,0,0,0,0,0,745
121,66,103,101,0,49,0,0,0,0,0,745
122,65,115,111,0,95,0,0,0,0,0,745
123,67,107,105,0,30,0,0,0,0,0,745
124,69,110,108,0,48,0,0,0,0,0,745
125,70,113,110,0,85,0,0,0,0,0,745
126,66,103,101,0,49,0,0,0,0,0,740
127,66,103,101,0,49,0,0,0,0,0,624
128,66,103,101,0,49,0,0,0,0,0,951
129,20,113,110,0,85,0,0,0,0,0,855
130,44,117,114,0,44,0,0,0,0,0,855
131,66,103,101,0,49,0,0,0,0,0,855
132,65,115,111,0,95,0,0,0,0,0,855
133,67,107,105,0,30,0,0,0,0,0,855
134,69,110,108,0,48,0,0,0,0,0,855
135,66,103,101,0,49,0,0,0,0,0,873
136,15,23,22,0,43,0,0,0,1,0,25
137,66,103,101,0,49,0,0,0,0,0,324
138,20,113,110,0,85,0,0,0,0,0,238
139,44,117,114,0,44,0,0,0,0,0,238
140,66,103,101,0,49,0,0,0,0,0,238
141,65,115,111,0,95,0,0,0,0,0,238
142,67,107,105,0,30,0,0,0,0,0,238
143,69,110,108,0,48,0,0,0,0,0,238
144,60,36,35,0,77,0,0,1,1,0,85
145,66,103,101,0,49,0,0,0,0,0,359
146,20,113,110,0,85,0,0,0,0,0,402
147,44,117,114,0,44,0,0,0,0,0,402
148,66,103,101,0,49,0,0,0,0,0,402
149,65,115,111,0,95,0,0,0,0,0,402
150,67,107,105,0,30,0,0,0,0,0,402
151,69,110,108,0,48,0,0,0,0,0,402
152,48,84,82,0,51,0,0,0,1,0,69
153,3,111,107,0,25,0,0,0,0,0,601
154,16,105,100,0,40,0,0,0,0,0,601
155,16,106,102,0,40,0,0,0,0,0,601
156,24,116,113,0,52,0,0,0,0,0,601
157,44,117,114,0,44,0,0,0,0,0,601
158,66,103,101,0,49,0,0,0,0,0,601
159,65,115,111,0,95,0,0,0,0,0,601
160,67,107,105,0,30,0,0,0,0,0,601
161,69,110,108,0,48,0,0,0,0,0,601
162,70,113,110,0,85,0,0,0,0,0,601
163,20,113,110,0,85,0,0,0,0,0,142
164,44,117,114,0,44,0,0,0,0,0,142
165,66,103,101,0,49,0,0,0,0,0,142
166,65,115,111,0,95,0,0,0,0,0,142
167,67,107,105,0,30,0,0,0,0,0,142
168,69,110,108,0,48,0,0,0,0,0,142
169,20,113,110,0,85,0,0,0,0,0,178
170,44,117,114,0,44,0,0,0,0,0,178
171,66,103,101,0,49,0,0,0,0,0,178
172,65,115,111,0,95,0,0,0,0,0,178
173,67,107,105,0,30,0,0,0,0,0,178
174,69,110,108,0,48,0,0,0,0,0,178
175,3,111,107,0,25,0,0,0,0,0,578
176,6,108,103,0,66,0,0,0,0,0,578
177,16,105,100,0,40,0,0,0,0,0,578
178,16,106,102,0,40,0,0,0,0,0,578
179,24,116,113,0,52,0,0,0,0,0,578
180,44,117,114,0,44,0,0,0,0,0,578
181,66,103,101,0,49,0,0,0,0,0,578
182,65,115,111,0,95,0,0,0,0,0,578
183,67,107,105,0,30,0,0,0,0,0,578
184,68,112,109,0,68,0,0,0,0,0,578
185,69,110,108,0,48,0,0,0,0,0,578
186,70,113,110,0,85,0,0,0,0,0,578
187,3,111,107,0,25,0,0,0,0,0,567
188,6,108,103,0,66,0,0,0,0,0,567
189,16,105,100,0,40,0,0,0,0,0,567
190,16,106,102,0,40,0,0,0,0,0,567
191,24,116,113,0,52,0,0,0,0,0,567
192,44,117,114,0,44,0,0,0,0,0,567
193,66,103,101,0,49,0,0,0,0,0,567
194,65,115,111,0,95,0,0,0,0,0,567
195,67,107,105,0,30,0,0,0,0,0,567
196,68,112,109,0,68,0,0,0,0,0,567
197,69,110,108,0,48,0,0,0,0,0,567
198,70,113,110,0,85,0,0,0,0,0,567
199,20,113,110,0,85,0,0,0,0,0,827
200,44,117,114,0,44,0,0,0,0,0,827
201,66,103,101,0,49,0,0,0,0,0,827
202,65,115,111,0,95,0,0,0,0,0,827
203,67,107,105,0,30,0,0,0,0,0,827
204,69,110,108,0,48,0,0,0,0,0,827
205,3,111,107,0,25,0,0,0,0,0,396
206,6,108,103,0,66,0,0,0,0,0,396
207,16,105,100,0,40,0,0,0,0,0,396
208,16,106,102,0,40,0,0,0,0,0,396
209,24,116,113,0,52,0,0,0,0,0,396
210,44,117,114,0,44,0,0,0,0,0,396
211,66,103,101,0,49,0,0,0,0,0,396
212,65,115,111,0,95,0,0,0,0,0,396
213,67,107,105,0,30,0,0,0,0,0,396
214,68,112,109,0,68,0,0,0,0,0,396
215,69,110,108,0,48,0,0,0,0,0,396
216,70,113,110,0,85,0,0,0,0,0,396
217,15,15,13,0,43,0,0,0,1,0,23
218,66,103,101,0,49,0,0,0,0,0,670
219,20,113,110,0,85,0,0,0,0,0,615
220,44,117,114,0,44,0,0,0,0,0,615
221,66,103,101,0,49,0,0,0,0,0,615
222,65,115,111,0,95,0,0,0,0,0,615
223,67,107,105,0,30,0,0,0,0,0,615
224,69,110,108,0,48,0,0,0,0,0,615
225,66,103,101,0,49,0,0,0,0,0,539
226,3,111,107,0,25,0,0,0,0,0,382
227,6,108,103,0,66,0,0,0,0,0,382
228,16,105,100,0,40,0,0,0,0,0,382
229,16,106,102,0,40,0,0,0,0,0,382
230,24,116,113,0,52,0,0,0,0,0,382
231,44,117,114,0,44,0,0,0,0,0,382
232,66,103,101,0,49,0,0,0,0,0,382
233,65,115,111,0,95,0,0,0,0,0,382
234,67,107,105,0,30,0,0,0,0,0,382
235,68,112,109,0,68,0,0,0,0,0,382
236,69,110,108,0,48,0,0,0,0,0,382
237,70,113,110,0,85,0,0,0,0,0,382
238,20,113,110,0,85,0,0,0,0,0,526
239,44,117,114,0,44,0,0,0,0,0,526
240,66,103,101,0,49,0,0,0,0,0,526
241,65,115,111,0,95,0,0,0,0,0,526
242,67,107,105,0,30,0,0,0,0,0,526
