row_id,name,startdate,enddate,description,offers,page_url
176,475,432,458,2763,0,4289
177,1291,372,353,1868,1,2826
178,542,445,414,1708,1,4782
179,1163,411,382,2926,1,3158
180,803,193,193,4355,1,3307
181,1038,624,563,3170,0,757
182,878,532,487,1438,1,4583
183,910,445,409,1052,0,414
184,1198,441,410,3541,0,1377
185,724,229,222,2671,1,2963
186,1082,463,430,655,0,1574
187,367,317,302,2977,1,4925
188,34,502,463,3505,0,893
189,781,377,351,2409,0,2589
190,1240,466,433,4082,1,4984
191,1317,356,337,1596,0,2190
192,351,611,548,3744,0,2205
193,93,426,403,1315,0,2399
194,1255,499,465,1721,1,1677
195,255,459,426,720,1,2101
196,571,3,5,4195,1,4664
197,806,576,522,1930,0,2676
198,735,375,353,2158,1,5047
199,189,345,327,3745,1,621
200,83,513,474,2091,0,2960
201,526,504,468,1474,0,4440
202,269,491,463,4203,0,4850
203,176,472,437,3601,0,1737
204,914,499,456,2668,0,75
205,1036,377,353,2697,1,2564
206,346,459,420,3808,0,14
207,921,375,353,4381,1,3226
208,151,441,410,555,0,524
209,1243,391,442,3832,1,26
210,449,451,415,2279,0,2393
211,335,496,455,1350,1,2923
212,181,500,462,125,0,3214
213,547,387,360,268,0,3995
214,1248,467,428,4767,1,4133
215,970,117,129,4875,0,3765
216,1249,416,389,1980,0,4637
217,565,274,264,3770,0,1534
218,1281,466,428,1849,1,2799
219,838,276,432,4435,0,3562
220,1106,507,462,3531,1,2033
221,1016,59,61,3713,1,1416
222,864,359,339,2607,1,402
223,1140,381,355,676,1,766
224,517,198,306,4500,0,3488
225,1215,490,455,549,1,615
226,547,387,360,305,0,1910
227,1267,466,432,1565,1,2214
228,408,471,432,570,1,1884
229,796,575,522,626,0,1965
230,630,450,414,1984,0,1449
231,211,480,446,603,1,1784
232,969,442,409,4605,0,3661
233,165,360,343,589,0,214
234,1143,282,268,267,0,3819
235,7,547,499,845,0,4628
236,1013,365,347,2354,0,2182
237,870,567,514,1742,1,725
238,862,329,314,1051,1,399
239,618,382,357,1260,0,1185
240,973,312,300,1610,1,2546
241,837,256,249,4677,0,3812
242,944,107,111,4759,0,3951
243,3,298,285,2826,1,4213
244,889,561,510,321,0,1375
245,1017,271,261,3151,1,1440
246,569,643,391,646,0,1573
247,956,563,514,3056,1,3593
248,911,616,553,3964,0,4760
249,1270,427,396,3602,1,1649
250,416,489,451,2838,1,4475
251,317,311,302,3410,0,519
252,550,71,72,4718,0,3663
253,914,499,456,4087,0,4730
254,1243,391,442,4818,1,3672
255,1101,478,439,3340,1,651
256,379,328,321,3028,0,1892
257,1166,36,35,1648,0,36
258,278,512,419,2096,0,2196
259,430,492,457,2771,1,4413
260,782,585,533,2084,0,1423
261,252,335,320,2965,1,3876
262,822,471,433,739,0,721
263,818,552,513,1411,0,1228
264,181,500,462,123,0,68
265,1147,472,435,1309,1,4165
266,293,426,397,777,0,4390
267,606,379,358,2211,1,706
268,738,520,474,2951,0,1514
269,1216,583,527,3291,0,1504
270,829,460,419,4453,0,3300
271,248,539,492,703,1,1388
272,630,450,414,1984,0,892
273,364,398,370,3106,1,2874
274,120,513,487,3350,0,563
275,1291,372,353,4805,1,3834
276,1254,641,581,3725,1,4773
277,126,391,363,4286,1,3349
278,513,161,267,130,0,4477
279,846,486,451,4000,0,4942
280,446,458,420,2966,1,294
281,1319,514,475,1853,0,2851
282,606,379,358,2213,1,4035
283,616,444,415,2935,0,4506
284,1141,466,429,185,0,4764
285,888,425,391,3496,0,1991
286,616,444,415,4833,0,3681
287,164,187,184,592,0,1734
288,141,587,535,2044,0,213
289,44,477,442,78,0,704
290,304,232,224,800,0,568
291,177,573,519,228,0,3364
292,568,588,532,2439,0,2144
293,1281,466,428,1378,1,3309
294,906,451,415,97,0,1587
295,457,234,226,3312,1,1110
296,1052,411,376,3095,0,3592
297,375,481,440,1332,0,268
298,879,325,309,1204,0,1251
299,371,438,404,3415,1,599
300,189,345,327,3283,1,1024
301,510,618,555,1640,0,4473
302,445,238,232,1536,1,1130
303,923,94,94,764,0,2697
304,864,359,339,343,1,4574
305,360,479,446,1132,0,1619
306,111,471,513,2006,1,1711
307,1286,492,455,4828,0,3777
308,881,257,247,2497,1,156
309,185,404,375,1710,1,121
310,433,335,323,3697,0,2066
311,833,557,506,2988,0,1476
312,360,479,446,1879,0,2906
313,944,107,111,4040,0,4971
314,776,204,203,2487,0,381
315,414,455,423,1950,0,1343
316,334,474,446,4373,1,3178
