row_id,name,startdate,enddate,location,description,eventstatus,offers,performer,doortime,page_url
125,1554,2183,2183,0,877,0,0,0,2183,320
126,743,2239,2239,0,311,0,0,0,2239,320
127,1553,2484,2484,0,877,0,0,0,2484,320
128,742,2540,2540,0,311,0,0,0,2540,320
129,747,441,441,0,311,0,0,0,441,320
130,1552,2779,2779,0,877,0,0,0,2779,320
131,741,2836,2836,0,311,0,0,0,2836,320
132,1552,3070,3070,0,877,0,0,0,3070,320
133,740,3124,3124,0,311,0,0,0,3124,320
134,1551,3364,3364,0,877,0,0,0,3364,320
135,740,3420,3420,0,311,0,0,0,3420,320
136,1550,3656,3656,0,877,0,0,0,3656,320
137,739,3711,3711,0,311,0,0,0,3711,320
138,1550,3951,3951,0,877,0,0,0,3951,320
139,738,4006,4006,0,311,0,0,0,4006,320
140,1549,4244,4244,0,877,0,0,0,4244,320
141,737,4299,4299,0,311,0,0,0,4299,320
142,1548,4541,4541,0,877,0,0,0,4541,320
143,737,4597,4597,0,311,0,0,0,4597,320
144,1547,4836,4836,0,877,0,0,0,4836,320
145,736,4892,4892,0,311,0,0,0,4892,320
146,1557,694,694,0,877,0,0,0,694,320
147,1547,5129,5129,0,877,0,0,0,5129,320
148,735,5185,5185,0,311,0,0,0,5185,320
149,1546,5426,5426,0,877,0,0,0,5426,320
150,734,5481,5481,0,311,0,0,0,5481,320
151,747,748,748,0,311,0,0,0,748,320
152,1545,5724,5724,0,877,0,0,0,5724,320
153,734,5780,5780,0,311,0,0,0,5780,320
154,1544,6021,6021,0,877,0,0,0,6021,320
155,733,6078,6078,0,311,0,0,0,6078,320
156,1544,6311,6311,0,877,0,0,0,6311,320
157,732,6365,6365,0,311,0,0,0,6365,320
158,1543,6605,6605,0,877,0,0,0,6605,320
159,731,6661,6661,0,311,0,0,0,6661,320
160,1542,6900,6900,0,877,0,0,0,6900,320
161,731,6955,6955,0,311,0,0,0,6955,320
162,1542,7195,7195,0,877,0,0,0,7195,320
163,730,7250,7250,0,311,0,0,0,7250,320
164,1541,7490,7490,0,877,0,0,0,7490,320
165,729,7544,7544,0,311,0,0,0,7544,320
166,1540,7784,7784,0,877,0,0,0,7784,320
167,728,7840,7840,0,311,0,0,0,7840,320
168,1557,995,995,0,877,0,0,0,995,320
169,1539,8075,8075,0,877,0,0,0,8075,320
170,728,8128,8128,0,311,0,0,0,8128,320
171,1539,8367,8367,0,877,0,0,0,8367,320
172,727,8421,8421,0,311,0,0,0,8421,320
173,746,1047,1047,0,311,0,0,0,1047,320
174,1538,8656,8656,0,877,0,0,0,8656,320
175,726,8711,8711,0,311,0,0,0,8711,320
176,1537,8951,8951,0,877,0,0,0,8951,320
177,726,9005,9005,0,311,0,0,0,9005,320
178,1556,1294,1294,0,877,0,0,0,1294,320
179,745,1346,1346,0,311,0,0,0,1346,320
180,1559,1592,1592,0,634,0,0,0,1592,73
181,763,1659,1659,0,68,0,0,0,1659,73
182,1558,1890,1890,0,634,0,0,0,1890,73
183,761,1956,1956,0,68,0,0,0,1956,73
184,1565,394,394,0,634,0,0,0,394,73
185,1556,2185,2185,0,634,0,0,0,2185,73
186,760,2254,2254,0,68,0,0,0,2254,73
187,1555,2486,2486,0,634,0,0,0,2486,73
188,758,2554,2554,0,68,0,0,0,2554,73
189,769,463,463,0,68,0,0,0,463,73
190,1553,2780,2780,0,634,0,0,0,2780,73
191,756,2850,2850,0,68,0,0,0,2850,73
192,1552,3070,3070,0,634,0,0,0,3070,73
193,755,3138,3138,0,68,0,0,0,3138,73
194,1550,3363,3363,0,634,0,0,0,3363,73
195,753,3429,3429,0,68,0,0,0,3429,73
196,1548,3654,3654,0,634,0,0,0,3654,73
197,751,3722,3722,0,68,0,0,0,3722,73
198,1547,3948,3948,0,634,0,0,0,3948,73
199,750,4018,4018,0,68,0,0,0,4018,73
200,1545,4241,4241,0,634,0,0,0,4241,73
201,748,4309,4309,0,68,0,0,0,4309,73
202,1544,4538,4538,0,634,0,0,0,4538,73
203,746,4605,4605,0,68,0,0,0,4605,73
204,1542,4832,4832,0,634,0,0,0,4832,73
205,745,4900,4900,0,68,0,0,0,4900,73
206,1564,701,701,0,634,0,0,0,701,73
207,1541,5124,5124,0,634,0,0,0,5124,73
208,743,5192,5192,0,68,0,0,0,5192,73
209,1539,5420,5420,0,634,0,0,0,5420,73
210,741,5488,5488,0,68,0,0,0,5488,73
211,768,767,767,0,68,0,0,0,767,73
212,1538,5719,5719,0,634,0,0,0,5719,73
213,740,5786,5786,0,68,0,0,0,5786,73
214,1536,6014,6014,0,634,0,0,0,6014,73
215,738,6083,6083,0,68,0,0,0,6083,73
216,1535,6303,6303,0,634,0,0,0,6303,73
217,737,6369,6369,0,68,0,0,0,6369,73
218,1533,6597,6597,0,634,0,0,0,6597,73
219,735,6665,6665,0,68,0,0,0,6665,73
220,1532,6892,6892,0,634,0,0,0,6892,73
221,733,6957,6957,0,68,0,0,0,6957,73
222,1530,7185,7185,0,634,0,0,0,7185,73
223,732,7252,7252,0,68,0,0,0,7252,73
224,1529,7480,7480,0,634,0,0,0,7480,73
225,730,7545,7545,0,68,0,0,0,7545,73
226,1527,7772,7772,0,634,0,0,0,7772,73
227,729,7841,7841,0,68,0,0,0,7841,73
228,1562,1000,1000,0,634,0,0,0,1000,73
229,1525,8062,8062,0,634,0,0,0,8062,73
230,727,8127,8127,0,68,0,0,0,8127,73
231,1524,8354,8354,0,634,0,0,0,8354,73
232,725,8419,8419,0,68,0,0,0,8419,73
233,766,1065,1065,0,68,0,0,0,1065,73
234,1522,8641,8641,0,634,0,0,0,8641,73
235,724,8709,8709,0,68,0,0,0,8709,73
236,1521,8936,8936,0,634,0,0,0,8936,73
237,722,9003,9003,0,68,0,0,0,9003,73
238,1561,1298,1298,0,634,0,0,0,1298,73
239,765,1365,1365,0,68,0,0,0,1365,73
240,1201,1504,1504,0,1045,0,0,0,1504,489
