row_id,name,startdate,enddate,location,description,eventattendancemode,eventstatus,organizer,aggregaterating,page_url
7540,6993,1060,1029,0,5296,1,2,0,1,1435
7541,7685,1007,975,0,5296,1,2,0,1,2453
7542,7162,1127,1091,0,1723,3,3,1,1,8831
7543,7164,1127,1091,0,1723,3,3,1,1,8831
7544,7399,1086,1051,0,5296,0,2,0,1,2110
7545,6044,992,953,0,5296,1,2,0,1,2324
7546,4421,1217,1183,0,194,1,2,0,1,6645
7547,8427,1453,1420,0,1635,1,2,0,0,9107
7548,8356,1136,1102,0,4370,1,2,0,1,9041
7549,2154,1011,973,0,2512,1,2,0,1,1336
7550,104,989,951,0,5296,1,2,0,1,1871
7551,4606,960,925,0,5296,1,2,0,1,6930
7552,2314,1271,1241,1,4937,2,2,0,1,4718
7553,3828,1183,1151,0,5227,1,2,0,1,6801
7554,3748,1061,1029,0,5296,1,2,0,1,4101
7555,4911,1399,1364,0,1763,1,2,0,0,7133
7556,7018,1223,1189,0,2410,1,2,0,0,8226
7557,7228,1023,991,0,5296,1,2,0,1,2194
7558,6507,1560,1527,0,4713,1,2,0,0,7239
7559,8604,1163,1131,0,3901,1,2,0,1,7539
7560,182,1023,991,0,5296,1,2,0,1,3207
7561,3210,1027,991,0,5296,1,2,0,0,6111
7562,2979,669,649,0,2094,1,2,0,1,5968
7563,6603,1510,1472,0,974,1,2,0,0,8041
7564,6229,995,956,0,5296,1,2,0,1,3201
7565,3158,1417,1380,0,5296,1,2,0,1,2546
7566,1675,1458,1423,0,3567,1,2,0,0,6921
7567,162,989,956,0,5296,1,2,0,1,3482
7568,5904,1225,1197,1,2096,2,2,0,1,4572
7569,26,1022,989,0,5296,1,2,0,1,5399
7570,4360,1255,1221,0,1529,1,2,0,0,6614
7571,430,1208,1176,0,5296,1,2,0,0,65
7572,4402,1153,1116,0,1329,1,2,0,0,6635
7573,8010,1318,1284,0,2563,1,2,0,0,8659
7574,2505,1004,970,0,3138,1,2,0,0,5742
7575,3232,1229,1195,0,5296,1,2,0,1,6126
7576,5976,465,444,0,2049,1,1,0,1,7665
7577,3732,1160,1124,0,5296,1,2,0,0,6979
7578,3444,1306,1273,0,1240,1,2,0,0,557
7579,3254,1063,1027,0,5296,1,2,0,1,5048
7580,7169,1532,1496,0,1367,1,2,0,0,8360
7581,957,1051,1024,0,5296,0,2,0,0,9039
7582,2013,543,523,0,2803,1,2,0,1,240
7583,460,631,614,0,153,1,2,0,0,7316
7584,1168,1218,1185,0,2861,1,2,0,0,33
7585,7453,995,956,0,5296,1,2,0,1,2234
7586,601,1196,1162,0,5296,1,2,0,1,207
7587,7303,1083,1048,0,2504,1,2,0,1,3067
7588,5223,1016,980,0,5296,1,2,0,1,7294
7589,655,1452,1418,0,393,1,2,0,0,2290
7590,6148,1023,989,0,5296,0,2,0,1,5395
7591,5035,992,953,0,5296,1,2,0,1,1505
7592,4467,1231,1197,0,3635,1,2,0,1,6728
7593,3846,1522,1483,0,3327,1,2,0,0,6970
7594,4068,1205,1171,0,5296,1,2,0,0,7042
7595,5526,1058,1033,0,3857,1,2,0,0,1021
7596,4357,1101,1068,0,3793,1,2,0,1,3425
7597,8357,1177,1147,1,5086,2,2,0,1,1653
7598,6074,1265,1234,0,1723,3,3,1,1,8837
7599,7834,1075,1041,0,3394,1,2,0,1,2505
7600,8016,201,194,0,4315,1,2,0,1,8675
7601,2335,1060,1027,0,2153,1,2,0,1,3453
7602,6338,659,639,0,5296,1,2,0,1,5212
7603,4432,1237,1208,0,5296,1,2,0,1,4073
7604,637,917,884,0,5296,1,2,0,1,1251
7605,5288,172,167,0,3806,1,2,0,1,7331
7606,1220,941,906,0,343,1,2,0,0,4838
7607,5066,1067,1031,0,67,1,2,0,1,3543
7608,5515,1012,980,0,5296,1,2,0,1,4649
7609,3244,1116,1079,0,4711,1,2,0,0,6127
7610,2118,1121,1084,0,1002,1,2,0,1,2610
7611,6689,1012,984,0,5296,1,2,0,1,2515
7612,5258,1031,995,0,1828,1,2,0,1,4306
7613,5778,234,227,0,2023,1,2,0,1,7565
7614,6625,848,814,0,5296,1,2,0,1,8062
7615,268,1149,1116,0,5296,1,2,0,1,5411
7616,4125,1021,991,0,5296,1,2,0,1,7900
7617,3850,1594,1561,0,5296,1,2,0,0,6814
7618,4525,1217,1183,0,653,1,2,0,1,3089
7619,6120,1367,1331,0,2077,1,2,0,1,7831
7620,4578,868,841,0,5296,1,2,0,0,376
7621,8521,1190,1156,0,4752,1,2,0,1,9168
7622,300,1218,1186,0,2709,1,2,0,1,3723
7623,988,1410,1374,0,2832,1,2,0,0,6956
7624,7934,995,956,1,5296,2,2,0,1,2537
7625,8017,161,156,0,4314,1,2,0,1,757
7626,5331,1089,1054,0,3816,1,2,0,0,2685
7627,854,1079,1044,0,3845,1,2,0,0,263
7628,3116,765,726,0,3261,1,2,0,0,1393
7629,1572,998,959,0,5296,1,2,0,1,2414
7630,3818,1219,1184,0,5296,1,2,0,1,6782
7631,37,1171,1148,0,96,1,2,0,1,5068
7632,8391,1404,1367,0,5296,3,2,1,0,7179
7633,8337,1210,1178,0,2241,1,2,0,1,2394
7634,6503,782,743,0,5296,1,2,0,0,4100
7635,644,1250,1229,0,1271,1,2,0,1,226
7636,3658,1038,1009,0,2952,1,2,0,1,4850
7637,3854,748,713,0,1427,1,2,0,0,6817
7638,1460,583,563,0,492,1,2,0,0,681
7639,4233,558,539,0,1352,1,2,0,1,5295
7640,3929,1419,1382,0,3465,1,2,0,1,7045
7641,5229,1073,1038,0,1867,1,2,0,0,7301
