row_id,name,startdate,enddate,description,eventattendancemode,offers,organizer,performer,url,page_url
3319,2493,5466,5699,1254,1,0,2,0,0,6458
3320,2501,5406,5635,75,1,0,0,0,0,6556
3321,523,211,204,1252,1,0,0,0,0,2349
3322,821,4499,4698,1067,1,1,0,0,0,585
3323,722,4511,4709,56,1,0,0,0,0,2706
3324,412,2896,3026,2,1,1,2,0,0,2158
3325,1917,703,729,2478,1,0,0,0,0,1527
3326,522,1736,1799,2290,1,0,0,0,0,2321
3327,1293,642,668,1571,1,0,0,0,0,4071
3328,1587,3815,3983,807,1,0,0,0,0,4561
3329,1542,4973,5193,1523,1,0,0,0,0,4487
3330,2373,2701,2823,660,1,0,0,0,0,5744
3331,1552,421,421,2119,1,0,0,0,0,4520
3332,720,4259,4448,2072,1,0,0,0,0,2704
3333,1935,1448,1513,1622,1,0,0,0,0,5091
3334,2068,1688,1753,1583,1,0,0,0,0,5279
3335,2493,5499,5734,1254,1,0,2,0,0,6466
3336,1249,4965,5185,1094,1,0,0,0,0,3853
3337,1564,1993,2073,1630,1,1,0,0,0,4527
3338,932,712,739,634,1,0,0,0,0,3088
3339,2493,3988,4169,1254,1,1,2,0,0,5951
3340,1893,3297,3434,1825,1,0,0,0,0,5007
3341,1711,1896,1970,803,1,0,0,0,0,1413
3342,1455,4846,5064,1141,1,0,0,0,0,4295
3343,1818,4654,4866,276,1,1,0,0,0,4865
3344,2561,2909,3038,1340,1,0,0,0,0,6649
3345,1646,414,418,2369,1,0,0,0,0,4637
3346,2232,2926,3055,2112,1,0,0,0,0,5467
3347,1809,1570,1636,1257,1,0,0,0,0,1479
3348,1244,3840,4012,1556,1,1,0,0,0,921
3349,1809,1862,1931,1257,1,0,0,0,0,1486
3350,429,576,594,2529,1,0,0,0,0,164
3351,821,5117,5341,1067,1,1,0,0,0,628
3352,1455,4866,5086,1141,1,0,0,0,0,4297
3353,244,1973,2052,81,1,0,0,0,0,1949
3354,2297,2201,2297,2242,1,0,0,0,0,5573
3355,1472,3648,3803,1551,1,0,0,0,0,4343
3356,1880,3532,3684,1819,1,0,0,0,0,4987
3357,2265,3797,3964,1703,1,0,0,0,0,5524
3358,2493,3684,3849,1254,1,1,2,0,0,5927
3359,821,5529,5764,1067,1,0,0,0,0,2919
3360,1252,5557,5792,1558,1,0,0,0,0,3668
3361,1400,4166,4351,184,0,0,2,0,0,4204
3362,1725,89,89,2212,1,0,0,0,0,4723
3363,2312,2236,2335,1142,1,0,0,0,0,5621
3364,1725,1300,1355,2212,1,0,0,0,0,4735
3365,668,2344,2450,598,1,0,0,0,0,2645
3366,526,476,480,1405,1,0,0,0,0,2409
3367,1864,653,680,1513,1,0,0,0,0,1516
3368,1818,4956,5177,276,1,1,0,0,0,4878
3369,2493,5421,5655,1254,1,1,2,0,0,6196
3370,518,2670,2792,1249,1,0,0,0,0,270
3371,355,536,546,1607,1,0,0,0,1,1717
3372,2198,1421,1486,2463,1,0,0,0,1,1717
3373,2319,4562,4761,431,1,0,0,0,0,1743
3374,189,1406,1470,842,1,0,0,0,0,1898
3375,1455,5658,5896,1141,1,0,0,0,0,4321
3376,37,3057,3197,138,1,1,0,0,0,1723
3377,180,3392,3534,1986,1,0,0,0,0,1890
3378,731,5276,5505,1390,1,0,2,0,0,2734
3379,785,2259,2361,2599,1,0,0,0,0,526
3380,1756,1263,1313,2281,1,0,0,0,0,1467
3381,1475,1657,1722,2485,1,0,0,0,0,1317
3382,562,3200,3342,1749,1,1,0,0,0,380
3383,1244,4444,4643,1556,1,1,0,0,0,1073
3384,821,5039,5262,1067,1,0,0,0,0,2899
3385,1243,3477,3624,2237,1,0,0,0,0,3605
3386,901,3380,3521,1920,1,0,0,0,0,3035
3387,1252,3171,3311,1558,1,0,0,0,0,3642
3388,548,1177,1219,1817,1,0,0,0,0,376
3389,1246,1100,1140,1558,1,0,0,0,0,851
3390,245,3287,3426,1921,1,0,0,0,0,1957
3391,28,3613,3768,861,1,0,0,0,0,6634
3392,254,373,373,1530,1,0,0,0,0,1974
3393,277,2763,2889,273,1,0,0,0,0,1992
3394,126,814,849,100,1,0,0,0,0,1860
3395,2233,1751,1815,24,1,0,0,0,0,5478
3396,492,4646,4857,1244,1,0,2,0,0,2282
3397,2493,5728,5971,1254,1,0,2,0,0,6518
3398,1285,27,27,2043,1,0,0,0,0,4053
3399,2483,292,289,568,1,0,0,0,0,5865
3400,2493,3793,3962,1254,1,1,2,0,0,5938
