row_id,name,startdate,enddate,location,description,eventattendancemode,page_url
1837,1057,2529,2697,0,777,0,3866
1838,3738,3176,3410,0,2800,0,4748
1839,4047,2351,2506,0,3200,0,4483
1840,2912,2098,2264,0,2238,0,5226
1841,1057,2738,2923,0,777,0,3986
1842,995,3986,4402,0,2759,0,1092
1843,3998,3916,4315,0,257,0,3345
1844,2303,39,39,0,862,0,2104
1845,821,2976,3174,0,211,0,2999
1846,2557,426,428,1,379,1,1832
1847,3189,2104,2272,0,2294,0,4823
1848,3437,3512,3786,0,3410,0,2158
1849,1026,1974,2123,0,1117,0,3524
1850,3457,2543,2716,0,1221,0,4868
1851,4361,3241,3478,0,1716,0,572
1852,1175,3478,3739,0,2777,0,1171
1853,1506,573,577,0,2719,0,2244
1854,1057,2550,2724,0,777,0,3873
1855,1586,2243,2414,0,1374,0,5281
1856,3999,3909,4307,0,258,0,3342
1857,2214,1840,1964,0,1769,0,1849
1858,3407,2713,2898,0,659,0,3825
1859,2584,111,111,0,2367,0,807
1860,1993,777,785,0,1364,0,1654
1861,1914,1222,1278,0,1174,0,1996
1862,1875,1479,1566,0,499,0,3298
1863,2193,1289,1354,0,1930,0,4829
1864,25,1598,1709,0,94,0,1442
1865,2080,2860,3058,0,1948,0,4524
1866,3846,587,591,0,2737,0,2310
1867,4364,3051,3265,0,3353,0,6102
1868,351,3632,3946,0,1075,0,1934
1869,4143,941,965,0,3088,0,4583
1870,3773,3831,4201,0,2926,0,2434
1871,3945,2157,2322,0,2883,0,4645
1872,4563,1034,1064,0,2978,0,2330
1873,1449,643,646,0,2738,0,3635
1874,4171,789,801,0,1414,0,4979
1875,3665,1557,1672,0,2584,0,255
1876,3922,1860,1990,0,2804,0,305
1877,1922,964,990,0,1573,0,3813
1878,486,2716,2903,0,475,0,3693
1879,1814,2965,3160,0,2872,0,5977
1880,4364,879,898,0,3353,0,6006
1881,975,2235,2408,0,3157,0,3415
1882,2152,1029,1063,0,1815,0,4837
1883,2246,3494,3760,0,1788,0,5629
1884,2783,3352,3588,0,2988,0,1194
1885,989,2541,2711,0,2739,0,5528
1886,1798,3451,3713,0,1360,0,393
1887,4056,624,627,0,1684,0,2351
1888,74,3771,4123,0,3156,0,777
1889,3546,1062,1096,0,577,0,2197
1890,3255,635,664,1,729,1,3064
1891,120,2351,2511,0,2754,0,3096
1892,901,2523,2693,0,1135,0,5626
1893,4041,1937,2077,0,3133,0,29
1894,3866,1273,1337,0,2874,0,5185
1895,1969,1725,1837,0,2713,0,988
1896,1477,3580,3879,0,1400,0,1423
1897,541,3956,4366,0,2726,0,4308
1898,3405,3808,4168,0,1092,0,2544
1899,1939,3323,3550,0,1577,0,5990
1900,4579,1941,2084,0,2797,0,649
1901,531,91,91,0,1826,0,915
1902,2294,1076,1115,0,1852,0,1104
1903,1498,491,491,0,2422,0,2033
1904,551,1681,1797,0,416,0,5921
1905,3373,1883,2014,0,218,0,2927
