name,author,recipecategory,recipecuisine,aggregaterating,nutrition,suitablefordiet
197,-1,141,89,-1,0,0
198,-1,141,90,-1,0,0
199,-1,142,91,-1,0,0
200,-1,143,91,-1,0,0
201,-1,143,91,-1,0,0
202,-1,144,91,-1,0,0
203,-1,144,92,-1,0,0
204,-1,144,93,-1,0,0
205,-1,145,94,-1,0,0
206,-1,145,94,-1,0,0
207,-1,146,94,-1,0,0
208,-1,147,94,-1,0,0
209,-1,148,94,-1,0,0
210,-1,149,94,-1,0,0
211,-1,150,94,-1,0,0
212,-1,151,95,-1,0,0
213,-1,152,96,-1,0,0
214,-1,153,97,-1,0,0
215,-1,154,98,-1,0,0
216,-1,154,98,-1,0,0
217,-1,155,99,-1,0,0
218,-1,156,100,-1,0,0
219,-1,156,100,-1,0,0
220,-1,157,100,-1,0,0
221,-1,157,100,-1,0,0
222,-1,158,100,-1,0,0
223,-1,159,101,-1,0,0
224,-1,160,102,-1,0,0
225,-1,160,103,-1,0,0
226,-1,161,104,-1,0,0
227,-1,162,105,-1,0,0
228,-1,163,106,-1,0,0
229,-1,163,107,-1,0,0
230,-1,164,107,-1,0,0
231,-1,165,108,-1,0,0
232,-1,166,109,-1,0,0
233,-1,167,110,-1,0,0
234,-1,168,111,-1,0,0
235,-1,168,111,-1,0,0
236,-1,169,111,-1,0,0
237,-1,170,111,-1,0,0
238,-1,171,111,-1,0,0
239,-1,172,111,-1,0,0
240,-1,173,112,-1,0,0
241,-1,174,113,-1,0,0
242,-1,175,114,-1,0,0
243,-1,176,114,-1,0,0
244,-1,177,114,-1,0,0
245,-1,177,115,-1,0,0
246,-1,177,116,-1,0,0
247,-1,178,117,-1,0,0
248,-1,178,118,-1,0,0
249,-1,178,119,-1,0,0
250,-1,179,120,-1,0,0
251,-1,180,121,-1,0,0
252,-1,181,121,-1,0,0
253,-1,181,121,-1,0,0
254,-1,182,121,-1,0,0
255,-1,183,122,-1,0,0
256,-1,184,123,-1,0,0
257,-1,184,123,-1,0,0
258,-1,185,123,-1,0,0
259,-1,186,123,-1,0,0
260,-1,187,123,-1,0,0
261,-1,187,123,-1,0,0
262,-1,187,123,-1,0,0
263,-1,187,123,-1,0,0
264,-1,188,123,-1,0,0
265,-1,189,123,-1,0,0
266,-1,190,123,-1,0,0
267,-1,191,123,-1,0,0
268,-1,192,123,-1,0,0
269,-1,193,123,-1,0,0
270,-1,194,123,-1,0,0
271,-1,194,123,-1,0,0
272,-1,194,123,-1,0,0
273,-1,194,123,-1,0,0
274,-1,195,124,-1,0,0
275,-1,196,125,-1,0,0
276,-1,196,126,-1,0,0
277,-1,197,126,-1,0,0
278,-1,198,126,-1,0,0
279,-1,199,127,-1,0,0
280,-1,200,128,-1,0,0
281,-1,201,129,-1,0,0
282,-1,202,130,-1,0,0
283,-1,203,131,-1,0,0
284,-1,204,131,-1,0,0
285,-1,204,131,-1,0,0
286,-1,205,132,-1,0,0
287,-1,205,132,-1,0,0
288,-1,206,133,-1,0,0
289,-1,207,133,-1,0,0
290,-1,207,133,-1,0,0
291,-1,208,133,-1,0,0
292,-1,209,134,-1,0,0
293,-1,210,135,-1,0,0
294,-1,211,135,-1,0,0
295,-1,212,136,-1,0,0
296,-1,213,137,-1,0,0
297,-1,214,138,-1,0,0
298,-1,214,138,-1,0,0
299,-1,215,139,-1,0,0
300,-1,216,140,-1,0,0
301,-1,217,140,-1,0,0
302,-1,217,140,-1,0,0
303,-1,218,140,-1,0,0
304,-1,218,140,-1,0,0
305,-1,219,140,-1,0,0
306,-1,220,141,-1,0,0
307,-1,221,142,-1,0,0
308,-1,222,142,-1,0,0
309,-1,223,142,-1,0,0
310,-1,223,143,-1,0,0
311,-1,224,143,-1,0,0
312,-1,225,144,-1,0,0
313,-1,226,144,-1,0,0
314,-1,227,144,-1,0,0
315,-1,227,144,-1,0,0
316,-1,227,145,-1,0,0
317,-1,228,146,-1,0,0
318,-1,229,146,-1,0,0
319,-1,230,146,-1,0,0
320,-1,231,146,-1,0,0
321,-1,232,146,-1,0,0
322,-1,233,147,-1,0,0
323,-1,234,148,-1,0,0
324,-1,234,148,-1,0,0
325,-1,235,149,-1,0,0
326,-1,235,150,-1,0,0
327,-1,236,151,-1,0,0
328,-1,237,152,-1,0,0
329,-1,238,152,-1,0,0
330,-1,239,152,-1,0,0
331,-1,240,152,-1,0,0
332,-1,241,152,-1,0,0
333,-1,241,152,-1,0,0
334,-1,242,152,-1,0,0
335,-1,243,153,-1,0,0
336,-1,244,154,-1,0,0
337,-1,244,155,-1,0,0
338,-1,245,156,-1,0,0
339,-1,246,157,-1,0,0
340,-1,247,157,-1,0,0
341,-1,248,157,-1,0,0
342,-1,249,157,-1,0,0
343,-1,249,158,-1,0,0
344,-1,250,159,-1,0,0
345,-1,251,160,-1,0,0
346,-1,252,161,-1,0,0
347,-1,253,161,-1,0,0
348,-1,254,162,-1,0,0
349,-1,255,163,-1,0,0
350,-1,255,164,-1,0,0
351,-1,256,165,-1,0,0
352,-1,256,166,-1,0,0
353,-1,256,166,-1,0,0
354,-1,257,167,-1,0,0
355,-1,258,168,-1,0,0
356,-1,259,168,-1,0,0
357,-1,260,168,-1,0,0
358,-1,260,168,-1,0,0
359,-1,261,169,-1,0,0
360,-1,262,170,-1,0,0
361,-1,263,171,-1,0,0
362,-1,263,172,-1,0,0
363,-1,264,173,-1,0,0
364,-1,265,173,-1,0,0
365,-1,266,173,-1,0,0
366,-1,267,173,-1,0,0
367,-1,267,173,-1,0,0
368,-1,267,173,-1,0,0
369,-1,268,173,-1,0,0
370,-1,269,174,-1,0,0
371,-1,270,175,-1,0,0
372,-1,271,175,-1,0,0
