recipeinstructions,author,recipeingredient,datepublished,recipeyield,preptime,cooktime,recipecategory,recipecuisine,nutrition,datemodified
0,0,-1,10,100,91,100,100,-1,-1,34
0,0,-1,10,100,91,101,101,80,-1,34
0,0,-1,10,101,92,102,102,80,-1,35
0,0,-1,10,102,93,103,103,80,-1,35
0,0,-1,10,103,94,-1,104,80,-1,36
0,0,-1,10,104,95,104,105,81,-1,36
0,0,-1,10,-1,96,105,-1,-1,-1,37
0,0,-1,10,105,97,106,106,82,-1,38
0,0,-1,10,106,97,107,107,83,-1,38
0,0,-1,10,107,98,108,108,84,-1,38
0,0,-1,10,108,98,109,109,85,-1,38
0,0,-1,10,109,99,110,110,85,-1,38
0,0,-1,10,110,100,110,111,85,-1,38
0,0,-1,10,111,101,111,112,85,-1,38
0,0,-1,10,112,102,112,113,85,-1,38
0,0,-1,10,113,102,113,113,86,-1,38
0,0,-1,10,114,103,114,114,87,-1,38
0,0,-1,10,115,104,115,115,87,-1,38
0,0,-1,10,116,105,116,116,88,-1,38
0,0,-1,10,117,106,117,117,89,-1,38
0,0,-1,10,118,107,118,118,89,-1,38
0,0,-1,10,118,108,-1,119,89,-1,38
0,0,-1,10,119,109,119,120,89,-1,38
0,0,-1,10,-1,110,-1,121,-1,-1,39
0,0,-1,10,-1,111,120,-1,-1,-1,39
0,0,-1,10,120,112,121,122,90,-1,40
0,0,-1,11,121,113,-1,123,91,-1,40
0,0,-1,12,122,114,122,124,91,-1,40
0,0,-1,12,123,114,-1,125,91,-1,40
0,0,-1,12,124,114,123,126,92,-1,41
0,0,-1,12,125,114,124,127,93,-1,42
0,0,-1,12,126,115,125,127,93,-1,42
0,0,-1,12,127,116,126,128,93,-1,42
0,0,-1,12,-1,-1,-1,129,-1,-1,43
0,0,-1,12,128,117,127,130,93,-1,44
0,0,-1,13,129,118,128,131,93,-1,44
0,0,-1,14,130,119,129,132,94,-1,44
0,0,-1,14,131,119,130,133,95,-1,44
0,0,-1,14,131,120,131,134,95,-1,44
0,0,-1,14,132,121,132,135,96,-1,44
0,0,-1,14,-1,122,133,-1,-1,-1,45
0,0,-1,14,133,123,134,136,97,-1,46
0,0,-1,14,134,124,-1,137,98,-1,46
0,0,-1,14,135,125,135,138,99,-1,46
0,0,-1,14,135,126,136,139,100,-1,46
0,0,-1,14,136,127,137,140,101,-1,46
0,0,-1,14,137,127,138,141,102,-1,46
0,0,-1,14,-1,128,139,-1,-1,-1,47
0,0,-1,14,138,129,140,142,103,-1,48
0,0,-1,14,139,130,141,143,104,-1,48
0,0,-1,14,140,131,142,144,105,-1,48
0,0,-1,14,141,132,143,145,105,-1,48
0,0,-1,14,142,133,144,146,105,-1,48
0,0,-1,14,143,134,-1,147,105,-1,48
0,0,-1,15,144,134,145,-1,-1,-1,48
0,0,-1,16,145,135,146,148,105,-1,48
0,0,-1,16,146,135,147,149,106,-1,48
0,0,-1,16,147,136,148,150,107,-1,48
0,0,-1,16,147,137,149,151,108,-1,48
0,0,-1,16,148,138,150,152,108,-1,48
0,0,-1,16,149,139,151,153,109,-1,48
0,0,-1,16,150,140,-1,154,110,-1,48
0,0,-1,16,150,140,-1,154,111,-1,48
0,0,-1,16,150,141,151,155,112,-1,48
0,0,-1,16,151,142,152,156,113,-1,48
0,0,-1,17,152,142,153,157,-1,-1,49
0,0,-1,18,153,143,154,158,114,-1,50
0,0,-1,18,-1,144,155,159,114,-1,51
0,0,-1,18,154,145,156,160,115,-1,52
0,0,-1,18,155,146,-1,161,116,-1,52
0,0,-1,18,156,147,157,162,117,-1,52
0,0,-1,18,157,147,158,163,117,-1,52
0,0,-1,18,158,148,158,164,117,-1,52
0,0,-1,18,159,149,159,165,117,-1,52
0,0,-1,18,160,149,160,166,117,-1,52
0,0,-1,18,161,150,161,167,117,-1,52
0,0,-1,18,162,151,161,167,118,-1,52
0,0,-1,18,-1,152,162,168,-1,-1,53
0,0,-1,18,163,153,163,169,119,-1,54
0,0,-1,18,163,153,164,-1,120,-1,54
0,0,-1,18,163,154,165,170,121,-1,54
0,0,-1,19,163,155,166,170,122,-1,54
0,0,-1,20,164,156,167,171,-1,-1,54
0,0,-1,21,165,156,167,-1,123,-1,54
0,0,-1,21,166,156,168,172,124,-1,54
0,0,-1,21,-1,157,169,173,125,-1,55
0,0,-1,21,167,158,169,-1,125,-1,56
0,0,-1,21,-1,159,170,-1,125,-1,57
0,0,-1,21,168,160,171,174,126,-1,58
0,0,-1,21,169,161,172,175,-1,-1,58
0,0,-1,21,170,162,173,176,126,-1,58
0,0,-1,21,171,163,174,176,127,-1,58
0,0,-1,21,171,163,175,177,128,-1,59
0,0,-1,21,171,163,176,177,128,-1,60
0,0,-1,21,171,164,177,178,129,-1,60
0,0,-1,21,-1,165,177,-1,-1,-1,61
0,0,-1,21,172,165,178,179,130,-1,62
0,0,-1,21,173,166,-1,180,131,-1,62
0,0,-1,21,174,167,179,181,132,-1,62
0,0,-1,21,174,168,180,182,133,-1,62
0,0,-1,21,175,169,181,183,134,-1,63
0,0,-1,21,176,170,182,184,-1,-1,64
0,0,-1,21,176,171,183,185,135,-1,64
0,0,-1,21,177,171,184,185,135,-1,64
0,0,-1,21,178,172,185,186,136,-1,64
0,0,-1,21,-1,-1,-1,187,-1,-1,65
0,0,-1,21,179,173,186,188,137,-1,66
0,0,-1,21,180,174,186,189,138,-1,67
0,0,-1,21,181,175,-1,190,138,-1,68
0,0,-1,21,182,176,187,191,138,-1,68
0,0,-1,21,-1,177,188,-1,-1,-1,69
0,0,-1,21,183,178,189,192,138,-1,70
0,0,-1,21,184,179,190,193,139,-1,71
0,0,-1,21,185,180,191,194,140,-1,72
0,0,-1,21,186,181,192,195,140,-1,72
0,0,-1,21,187,182,192,196,140,-1,72
0,0,-1,21,188,183,193,197,141,-1,72
0,0,-1,21,189,183,194,198,142,-1,72
0,0,-1,21,190,183,195,198,143,-1,73
0,0,-1,21,191,183,196,-1,-1,-1,73
0,0,-1,21,191,183,197,198,144,-1,74
0,0,-1,21,192,184,198,199,145,-1,74
0,0,-1,21,193,185,199,200,146,-1,74
0,0,-1,21,194,186,200,201,146,-1,75
0,0,-1,21,195,187,201,201,146,-1,76
0,0,-1,21,195,188,-1,202,146,-1,76
0,0,-1,21,195,189,-1,203,146,-1,76
0,0,-1,21,196,190,202,204,146,-1,76
0,0,-1,21,197,191,203,205,146,-1,76
0,0,-1,21,-1,192,204,206,-1,-1,77
0,0,-1,21,198,192,205,207,147,-1,78
0,0,-1,21,199,192,206,208,148,-1,79
0,0,-1,21,199,193,207,209,149,-1,80
0,0,-1,21,200,194,208,210,150,-1,80
0,0,-1,21,201,195,209,211,151,-1,80
0,0,-1,21,202,196,-1,212,152,-1,80
0,0,-1,21,203,196,210,213,152,-1,80
0,0,-1,21,204,197,211,214,152,-1,81
0,0,-1,21,205,197,211,215,153,-1,82
0,0,-1,21,206,198,212,216,-1,-1,82
0,0,-1,22,207,199,213,217,154,-1,82
0,0,-1,23,208,200,214,218,154,-1,82
0,0,-1,23,209,201,-1,219,154,-1,82
0,0,-1,23,210,201,-1,220,154,-1,82
0,0,-1,23,211,202,-1,220,155,-1,82
0,0,-1,23,-1,203,-1,221,156,-1,83
0,0,-1,23,-1,-1,-1,222,157,-1,83
0,0,-1,23,212,204,-1,223,158,-1,84
0,0,-1,23,212,205,215,224,159,-1,84
0,0,-1,23,-1,206,-1,225,159,-1,84
0,0,-1,23,-1,-1,-1,-1,160,-1,84
0,0,-1,23,-1,207,216,226,-1,-1,85
0,0,-1,23,213,207,217,227,161,-1,86
0,0,-1,23,214,207,218,228,162,-1,86
0,0,-1,23,-1,208,219,-1,-1,-1,87
0,0,-1,23,215,209,220,229,163,-1,88
0,0,-1,23,216,209,221,230,164,-1,88
0,0,-1,23,217,210,222,230,165,-1,88
0,0,-1,23,-1,211,-1,-1,-1,-1,89
0,0,-1,23,-1,212,223,-1,-1,-1,89
0,0,-1,23,218,213,-1,231,166,-1,90
0,0,-1,23,-1,214,224,-1,167,-1,91
0,0,-1,23,219,215,225,232,168,-1,92
0,0,-1,23,219,216,226,233,168,-1,92
0,0,-1,23,220,217,227,234,169,-1,93
0,0,-1,23,221,218,228,235,170,-1,94
0,0,-1,23,222,218,229,236,171,-1,94
0,0,-1,23,223,219,230,237,172,-1,94
0,0,-1,23,-1,-1,-1,237,-1,-1,95
0,0,-1,23,223,219,231,237,173,-1,96
0,0,-1,23,223,220,232,237,173,-1,97
0,0,-1,24,224,221,-1,238,-1,-1,98
0,0,-1,25,225,222,233,239,173,-1,98
0,0,-1,25,-1,223,234,-1,-1,-1,99
0,0,-1,25,226,224,234,240,173,-1,100
0,0,-1,25,227,225,235,241,174,-1,101
0,0,-1,25,228,226,236,242,175,-1,102
