recipeinstructions,author,recipeingredient,datepublished,recipeyield,recipecategory,totaltime,keywords,recipecuisine,aggregaterating,nutrition
-1,0,-1,1422,767,0,1166,1185,1208,0,-1
-1,0,-1,1423,767,0,1167,1185,1208,0,-1
-1,0,-1,1424,768,0,1168,1185,1208,0,-1
-1,0,-1,1425,768,0,1169,1186,1209,0,-1
-1,0,-1,1426,769,0,1169,-1,1210,0,-1
-1,0,-1,1427,770,0,1170,1187,1211,0,-1
-1,0,-1,1428,770,0,1170,1188,1212,0,-1
-1,0,-1,1429,770,0,1171,1189,1213,0,-1
-1,0,-1,1430,770,0,1172,1190,1214,0,-1
-1,0,-1,1431,770,0,1173,1191,1215,0,-1
-1,0,-1,1432,771,0,1174,1192,1216,0,-1
-1,0,-1,1433,771,0,1175,1192,1216,0,-1
-1,0,-1,1434,771,0,1176,1193,1217,0,-1
-1,0,-1,1435,772,0,1177,1194,1218,0,-1
-1,0,-1,1436,772,0,1177,1195,1219,0,-1
-1,0,-1,1437,773,0,1178,1196,1220,0,-1
-1,0,-1,1438,-1,0,-1,1197,1221,0,-1
-1,0,-1,1439,774,0,1179,1198,1222,0,-1
-1,0,-1,1440,775,0,1180,1198,1222,0,-1
-1,0,-1,1441,776,0,1181,1198,1222,0,-1
-1,0,-1,1442,777,0,1182,1199,1223,0,-1
-1,0,-1,1443,778,0,1183,1200,1224,0,-1
-1,0,-1,1444,779,0,-1,1201,1225,0,-1
-1,0,-1,1445,780,0,1184,1202,1225,0,-1
-1,0,-1,1446,780,0,1185,1203,1226,0,-1
-1,0,-1,1447,781,0,1186,-1,1226,0,-1
-1,0,-1,1448,782,0,1187,1204,1227,0,-1
-1,0,-1,1449,783,0,1188,1205,1228,0,-1
-1,0,-1,1450,783,0,1189,1206,1229,0,-1
-1,0,-1,1451,784,0,1190,1206,1229,0,-1
-1,0,-1,1452,784,0,1190,1207,1230,0,-1
-1,0,-1,1453,785,0,1191,1208,1231,0,-1
-1,0,-1,1454,785,0,1192,1209,1232,0,-1
-1,0,-1,1455,786,0,1193,1210,1233,0,-1
-1,0,-1,1456,787,0,1194,1211,1234,0,-1
-1,0,-1,1457,788,0,1195,1212,1235,0,-1
-1,0,-1,1458,789,0,1195,1213,1236,0,-1
-1,0,-1,1459,789,0,1195,1214,1237,0,-1
-1,0,-1,1460,790,0,1196,1215,1238,0,-1
-1,0,-1,1461,791,0,-1,1216,1239,0,-1
-1,0,-1,1462,792,0,1197,1217,1240,0,-1
-1,0,-1,1463,792,0,1198,1218,1241,0,-1
-1,0,-1,1464,793,0,1199,1219,1242,0,-1
-1,0,-1,1465,794,0,1200,1220,1243,0,-1
-1,0,-1,1466,794,0,1201,1221,1244,0,-1
-1,0,-1,1467,795,0,1202,1222,1245,0,-1
-1,0,-1,1468,796,0,1203,1223,1246,0,-1
-1,0,-1,1469,797,0,1204,1224,1247,0,-1
-1,0,-1,1470,798,0,1204,1225,1248,0,-1
-1,0,-1,1471,799,0,1205,1226,1249,0,-1
-1,0,-1,1472,800,0,1206,1227,1250,0,-1
-1,0,-1,1473,801,0,1207,1228,1251,0,-1
-1,0,-1,1474,802,0,1208,-1,1252,0,-1
-1,0,-1,1475,803,0,1209,1229,1252,0,-1
-1,0,-1,1476,804,0,1210,1230,1253,0,-1
-1,0,-1,1477,804,0,1211,1231,1254,0,-1
-1,0,-1,1478,804,0,1212,1232,1255,0,-1
-1,0,-1,1479,804,0,1213,1233,1256,0,-1
-1,0,-1,1480,805,0,1214,1234,1256,0,-1
-1,0,-1,1481,805,0,1215,1235,1257,0,-1
-1,0,-1,1482,805,0,1216,1235,1257,0,-1
-1,0,-1,1483,806,0,1216,1236,1258,0,-1
-1,0,-1,1484,807,0,1217,1237,1259,0,-1
-1,0,-1,1485,808,0,1218,1237,1259,0,-1
-1,0,-1,1486,809,0,1219,1238,1260,0,-1
-1,0,-1,1487,810,0,1220,1238,1260,0,-1
-1,0,-1,1488,811,0,1221,1238,1260,0,-1
-1,0,-1,1489,812,0,1222,1238,1260,0,-1
-1,0,-1,1490,813,0,1223,1239,1261,0,-1
-1,0,-1,1491,814,0,1224,1240,1262,0,-1
-1,0,-1,1492,814,0,1225,1241,1263,0,-1
-1,0,-1,1493,815,0,1226,1242,1264,0,-1
-1,0,-1,1494,815,0,1227,1243,1265,0,-1
-1,0,-1,1495,816,0,1228,1244,1266,0,-1
-1,0,-1,1496,817,0,1229,1245,1267,0,-1
-1,0,-1,1497,818,0,1230,1246,1268,0,-1
-1,0,-1,1498,819,0,1231,1246,1268,0,-1
-1,0,-1,1499,820,0,1232,1247,1269,0,-1
-1,0,-1,1500,820,0,1233,1248,1270,0,-1
-1,0,-1,1501,820,0,1234,1249,1271,0,-1
-1,0,-1,1502,820,0,1235,1250,1272,0,-1
-1,0,-1,1502,820,0,1236,1251,1273,0,-1
-1,0,-1,1503,820,0,1237,1251,1273,0,-1
-1,0,-1,1504,820,0,1238,1252,1274,0,-1
-1,0,-1,1505,820,0,1238,1253,1275,0,-1
-1,0,-1,1506,821,0,1239,1254,1276,0,-1
-1,0,-1,1507,821,0,1239,1255,1277,0,-1
-1,0,-1,1508,822,0,1240,1256,1278,0,-1
-1,0,-1,1509,822,0,1241,1257,1279,0,-1
-1,0,-1,1510,822,0,1242,1258,1280,0,-1
-1,0,-1,1511,822,0,1243,1259,1281,0,-1
-1,0,-1,1512,822,0,1244,1260,1282,0,-1
-1,0,-1,1513,822,0,1245,1261,1283,0,-1
-1,0,-1,1514,-1,0,-1,1262,1284,0,-1
-1,0,-1,1515,823,0,1245,1263,1285,0,-1
-1,0,-1,1516,824,0,1246,1264,1286,0,-1
-1,0,-1,1517,824,0,1247,-1,1287,0,-1
-1,0,-1,1518,824,0,1248,-1,1287,0,-1
-1,0,-1,1519,824,0,1249,1265,1287,0,-1
-1,0,-1,1520,824,0,1250,1265,1287,0,-1
-1,0,-1,1521,825,0,1251,1265,1287,0,-1
-1,0,-1,1522,825,0,1252,1265,1287,0,-1
-1,0,-1,1523,826,0,1253,1266,1288,0,-1
-1,0,-1,1524,827,0,1254,1267,1289,0,-1
-1,0,-1,1525,827,0,1255,1268,1290,0,-1
-1,0,-1,1526,828,0,-1,1269,1291,0,-1
-1,0,-1,1527,829,0,1256,1270,1292,0,-1
-1,0,-1,1528,830,0,1257,1270,1292,0,-1
-1,0,-1,1529,830,0,1257,1271,1293,0,-1
-1,0,-1,1530,831,0,1258,1272,1294,0,-1
-1,0,-1,1531,831,0,1259,1273,1295,0,-1
-1,0,-1,1532,831,0,1259,1274,1296,0,-1
-1,0,-1,1533,831,0,1260,1275,1297,0,-1
-1,0,-1,1534,832,0,1261,1276,1298,0,-1
-1,0,-1,1535,832,0,1262,1277,1299,0,-1
-1,0,-1,1536,832,0,1263,1278,1300,0,-1
-1,0,-1,1537,832,0,1264,-1,1300,0,-1
-1,0,-1,1538,832,0,-1,1279,1301,0,-1
-1,0,-1,1539,833,0,1265,1280,1302,0,-1
-1,0,-1,1540,834,0,1266,1281,1303,0,-1
-1,0,-1,1541,834,0,1267,1282,1304,0,-1
-1,0,-1,1542,834,0,1268,1283,1305,0,-1
-1,0,-1,1543,835,0,1269,1284,1306,0,-1
-1,0,-1,1544,836,0,1269,1285,1307,0,-1
-1,0,-1,1545,836,0,-1,1286,1308,0,-1
-1,0,-1,1546,837,0,1270,1287,1309,0,-1
-1,0,-1,1547,838,0,1271,1287,1309,0,-1
-1,0,-1,1548,839,0,-1,1288,1310,0,-1
-1,0,-1,1549,840,0,1271,1289,1311,0,-1
-1,0,-1,1549,840,0,1272,1290,1312,0,-1
-1,0,-1,1550,840,0,1273,1291,1313,0,-1
-1,0,-1,1551,840,0,1274,1292,1314,0,-1
-1,0,-1,1552,840,0,-1,1292,1314,0,-1
-1,0,-1,1553,840,0,1275,1292,1314,0,-1
-1,0,-1,1554,-1,0,-1,1292,1314,0,-1
-1,0,-1,1555,841,0,1276,1293,1315,0,-1
-1,0,-1,1556,842,0,-1,1294,1316,0,-1
-1,0,-1,1557,842,0,1276,1295,1317,0,-1
28,0,-1,1558,843,0,1277,1296,1318,0,-1
-1,0,-1,1559,844,0,1278,1297,1319,0,-1
-1,0,-1,1560,845,0,1279,1297,1319,0,-1
-1,0,-1,1561,845,0,1280,1298,1320,0,-1
-1,0,-1,1562,845,0,1281,1299,1321,0,-1
-1,0,-1,1563,845,0,1282,1299,1321,0,-1
-1,0,-1,1564,845,0,1283,1300,1322,0,-1
-1,0,-1,1565,845,0,1284,1301,1323,0,-1
-1,0,-1,1566,845,0,1284,1302,1324,0,-1
29,0,7,1567,845,0,1285,-1,1325,0,-1
-1,0,-1,1568,845,0,1286,1303,1325,0,-1
-1,0,-1,1569,845,0,1287,1303,1325,0,-1
-1,0,-1,1570,846,0,1288,1304,1326,0,-1
-1,0,-1,1571,846,0,1289,1305,1327,0,-1
-1,0,-1,1572,846,0,1290,1306,1328,0,-1
-1,0,-1,1573,847,0,-1,1307,1329,0,-1
-1,0,-1,1574,847,0,1291,1308,1330,0,-1
-1,0,-1,1575,847,0,-1,1309,1331,0,-1
-1,0,-1,1576,848,0,1292,1310,1332,0,-1
-1,0,-1,1577,848,0,1292,1310,1332,0,-1
-1,0,-1,1578,848,0,1293,1310,1332,0,-1
-1,0,-1,1579,848,0,-1,1311,1333,0,-1
-1,0,-1,1580,848,0,1294,1312,1334,0,-1
-1,0,-1,1581,848,0,1295,1313,1335,0,-1
-1,0,-1,1582,849,0,1295,1314,1336,0,-1
-1,0,-1,1583,850,0,1296,1315,1337,0,-1
-1,0,-1,1584,851,0,-1,1316,1338,0,-1
-1,0,-1,1585,851,0,1297,1317,1339,0,-1
-1,0,-1,1586,852,0,1298,1318,1339,0,-1
-1,0,-1,1587,853,0,1298,1319,1340,0,-1
-1,0,-1,1588,854,0,1299,-1,1341,0,-1
-1,0,-1,1589,855,0,1300,1319,1342,0,-1
-1,0,-1,1590,855,0,1300,-1,1343,0,-1
-1,0,-1,1591,-1,0,-1,1320,1344,0,-1
-1,0,-1,1592,856,0,1301,1321,1345,0,-1
-1,0,-1,1593,857,0,1302,1322,1346,0,-1
-1,0,-1,1594,858,0,1303,1323,1347,0,-1
-1,0,-1,1595,859,0,1304,1324,1347,0,-1
-1,0,-1,1596,859,0,1305,1325,1348,0,-1
-1,0,-1,1597,860,0,1306,1325,1348,0,-1
-1,0,-1,1598,861,0,1307,1325,1348,0,-1
-1,0,-1,1599,862,0,1308,1326,1349,0,-1
-1,0,-1,1600,862,0,1309,1327,1350,0,-1
-1,0,-1,1601,863,0,1310,1328,1351,0,-1
-1,0,-1,1602,864,0,1311,1328,1351,0,-1
-1,0,-1,1603,865,0,1312,1329,1352,0,-1
-1,0,-1,1604,865,0,1313,1330,1352,0,-1
-1,0,-1,1605,866,0,1314,1331,1353,0,-1
