name,recipeinstructions,author,recipeingredient,recipeyield,preptime,keywords,aggregaterating,nutrition,inlanguage,yield
33,-1,1,-1,7,-1,-1,-1,-1,1,7
34,-1,1,-1,-1,-1,-1,-1,-1,1,-1
35,-1,1,-1,-1,-1,4,-1,-1,1,-1
36,-1,1,-1,8,15,-1,-1,-1,1,8
37,-1,1,-1,-1,-1,-1,-1,-1,1,-1
38,-1,1,-1,-1,-1,-1,-1,-1,1,-1
39,-1,1,-1,9,-1,-1,-1,-1,1,9
40,-1,1,-1,10,16,-1,-1,-1,1,10
41,-1,1,-1,-1,-1,-1,-1,-1,1,-1
42,-1,1,-1,-1,-1,-1,-1,-1,1,-1
43,-1,1,-1,-1,-1,-1,-1,-1,1,-1
44,-1,1,-1,-1,-1,-1,-1,-1,1,-1
45,-1,1,-1,11,17,-1,-1,-1,1,11
46,-1,1,-1,12,18,-1,-1,-1,1,12
47,-1,1,-1,-1,-1,-1,-1,-1,1,-1
48,-1,1,-1,13,19,-1,-1,-1,1,13
49,-1,1,-1,-1,-1,5,-1,-1,1,-1
50,-1,1,-1,-1,-1,-1,-1,-1,1,-1
51,-1,1,-1,14,20,-1,-1,-1,1,14
52,-1,1,-1,15,21,-1,-1,-1,1,15
53,-1,1,-1,-1,22,-1,-1,-1,1,-1
54,-1,1,-1,16,23,-1,-1,-1,1,16
55,-1,1,-1,16,23,-1,-1,-1,1,16
