author,recipeingredient,preptime,cooktime,aggregaterating
867,-1,-1,-1,-1
868,-1,-1,-1,-1
869,-1,354,420,-1
870,-1,355,421,-1
871,-1,356,421,-1
872,-1,357,422,-1
873,-1,-1,-1,-1
874,-1,358,423,-1
875,-1,-1,-1,-1
876,-1,-1,-1,-1
877,-1,358,424,-1
878,-1,-1,-1,-1
879,-1,-1,-1,-1
880,-1,359,425,-1
881,-1,-1,-1,-1
882,-1,-1,-1,-1
883,-1,359,426,-1
884,-1,360,427,-1
885,-1,361,428,-1
886,-1,362,429,-1
887,-1,363,430,-1
888,-1,-1,-1,-1
889,-1,364,431,-1
890,-1,365,432,-1
891,-1,365,433,-1
892,-1,366,434,-1
893,-1,367,435,-1
894,-1,-1,-1,-1
895,-1,368,436,-1
896,-1,-1,-1,-1
897,-1,-1,-1,-1
898,-1,-1,-1,-1
899,-1,369,437,-1
900,-1,370,438,-1
901,-1,370,439,-1
902,-1,370,440,-1
903,-1,371,441,-1
904,-1,372,442,-1
905,-1,-1,-1,-1
906,-1,-1,-1,-1
907,-1,-1,-1,-1
908,-1,-1,-1,-1
909,-1,-1,-1,-1
910,-1,373,443,-1
911,-1,374,444,-1
912,-1,-1,-1,-1
913,-1,375,445,-1
914,-1,-1,-1,-1
915,-1,376,446,-1
916,-1,377,447,-1
917,-1,-1,-1,-1
918,-1,377,448,-1
919,-1,378,449,-1
920,-1,379,450,-1
921,-1,380,451,-1
922,-1,-1,-1,-1
923,-1,381,-1,-1
924,-1,-1,-1,-1
925,-1,-1,-1,-1
926,-1,-1,-1,-1
927,-1,382,452,-1
928,-1,-1,-1,-1
929,-1,-1,-1,-1
930,-1,-1,-1,-1
931,-1,383,-1,-1
932,-1,-1,-1,-1
933,-1,384,453,-1
934,-1,385,454,-1
935,-1,-1,-1,-1
936,-1,-1,-1,-1
937,-1,-1,-1,-1
938,-1,386,455,-1
939,-1,387,456,-1
940,-1,-1,-1,-1
941,-1,387,457,-1
942,-1,388,458,-1
943,-1,389,459,-1
944,-1,-1,-1,-1
945,-1,-1,-1,-1
946,-1,-1,-1,-1
947,-1,390,460,-1
948,-1,-1,-1,-1
949,-1,391,461,-1
950,-1,392,462,-1
951,-1,-1,-1,-1
952,-1,-1,-1,-1
953,-1,392,463,-1
954,-1,392,464,-1
955,-1,393,465,-1
956,-1,394,466,-1
957,-1,-1,-1,-1
958,-1,394,467,-1
959,-1,395,468,-1
960,-1,-1,-1,-1
961,-1,-1,-1,-1
962,-1,396,469,-1
963,-1,397,470,-1
964,-1,-1,-1,-1
965,-1,-1,-1,-1
966,-1,-1,-1,-1
967,-1,-1,-1,-1
968,-1,-1,-1,-1
969,-1,398,471,-1
970,-1,-1,-1,-1
971,-1,-1,-1,-1
972,-1,-1,-1,-1
973,-1,-1,-1,-1
974,-1,-1,472,-1
975,-1,399,473,-1
976,-1,-1,-1,-1
977,-1,400,474,-1
978,-1,-1,-1,-1
979,-1,-1,-1,-1
980,-1,-1,-1,-1
981,-1,401,475,-1
982,-1,402,476,-1
983,-1,-1,-1,-1
984,-1,-1,-1,-1
985,-1,403,477,-1
986,-1,-1,-1,-1
987,-1,-1,-1,-1
988,-1,403,478,-1
989,-1,404,479,-1
990,-1,-1,-1,-1
991,-1,405,480,-1
992,-1,-1,-1,-1
993,-1,405,481,-1
994,-1,406,482,-1
995,-1,-1,-1,-1
996,-1,407,483,-1
997,-1,-1,-1,-1
998,-1,-1,-1,-1
999,-1,408,484,-1
1000,-1,409,485,-1
1001,-1,410,486,-1
1002,-1,411,487,-1
1003,-1,412,488,-1
1004,-1,413,489,-1
-1,-1,-1,490,-1
1005,-1,-1,-1,-1
1006,-1,-1,-1,-1
1007,-1,-1,-1,-1
1008,-1,-1,-1,-1
1009,-1,-1,-1,-1
1010,-1,414,491,-1
1011,-1,414,492,-1
1012,-1,414,492,-1
1013,-1,415,-1,-1
1014,-1,416,493,-1
1015,-1,-1,-1,-1
1016,-1,417,494,-1
1017,-1,-1,-1,-1
1018,-1,-1,-1,-1
1019,-1,-1,-1,-1
1020,-1,-1,-1,-1
1021,-1,-1,-1,-1
1022,-1,-1,-1,-1
1023,-1,-1,-1,-1
1024,-1,-1,-1,-1
1025,-1,418,495,-1
1026,-1,-1,-1,-1
1027,-1,418,495,-1
1028,-1,-1,-1,-1
1029,-1,418,495,-1
1030,-1,-1,-1,-1
1031,-1,419,496,-1
1032,-1,-1,-1,-1
1033,-1,-1,-1,-1
1034,-1,420,497,-1
1035,-1,420,498,-1
1036,-1,421,499,-1
1037,-1,421,500,-1
1038,-1,-1,-1,-1
1039,-1,-1,-1,-1
1040,-1,421,501,-1
