name,startdate,enddate,description,image,offers
202,224,196,52,-1,0
203,225,197,-1,-1,0
204,226,198,52,-1,0
205,227,199,-1,-1,0
205,228,199,-1,-1,0
206,229,200,-1,-1,0
207,230,201,53,-1,0
208,231,202,54,-1,0
209,232,203,-1,-1,0
209,233,203,-1,-1,0
210,234,204,54,-1,0
211,235,205,-1,-1,0
211,236,205,-1,-1,0
211,237,205,-1,-1,0
212,238,206,55,-1,0
213,239,207,-1,-1,0
214,240,208,-1,-1,0
215,241,209,56,-1,0
216,241,209,56,-1,0
217,242,210,-1,-1,0
218,243,211,-1,-1,0
218,244,211,-1,-1,0
219,245,212,57,-1,0
220,246,213,-1,-1,0
221,247,214,-1,-1,0
222,248,215,58,-1,0
223,249,216,-1,-1,0
224,250,217,59,-1,0
225,251,218,60,-1,0
226,252,219,-1,-1,0
226,253,219,-1,-1,0
227,254,220,-1,-1,0
228,255,221,60,-1,0
229,255,221,60,-1,0
230,256,222,-1,-1,0
231,257,223,-1,-1,0
232,258,224,-1,-1,0
232,259,224,-1,-1,0
233,260,225,61,-1,0
234,261,226,-1,-1,0
234,262,226,-1,-1,0
234,263,226,-1,-1,0
235,264,227,61,-1,0
236,265,228,62,-1,0
237,266,229,-1,-1,0
238,267,230,62,-1,0
239,268,231,-1,-1,0
239,268,231,-1,-1,0
240,269,232,63,-1,0
241,270,233,64,-1,0
242,271,234,-1,-1,0
243,272,235,-1,-1,0
244,273,236,64,-1,0
245,274,237,-1,-1,0
245,275,237,-1,-1,0
245,276,237,-1,-1,0
245,277,237,-1,-1,0
246,278,238,64,-1,0
247,278,238,64,-1,0
248,279,239,-1,-1,0
248,280,239,-1,-1,0
249,281,240,65,-1,0
250,282,241,-1,-1,0
251,283,242,65,-1,0
252,284,243,-1,-1,0
253,285,244,66,-1,0
254,286,245,-1,-1,0
254,287,245,-1,-1,0
255,288,246,66,-1,0
256,289,247,-1,-1,0
256,290,247,-1,-1,0
257,291,248,66,-1,0
258,291,248,66,-1,0
259,292,249,67,-1,0
260,293,250,-1,-1,0
261,294,251,-1,-1,0
262,295,252,-1,-1,0
263,296,253,-1,-1,0
264,297,254,-1,-1,0
264,298,254,-1,-1,0
265,299,255,67,-1,0
266,300,256,-1,-1,0
267,301,257,68,-1,0
268,301,257,68,-1,0
269,302,258,-1,-1,0
270,303,259,-1,-1,0
270,304,259,-1,-1,0
271,305,260,-1,-1,0
272,306,261,68,-1,0
273,306,261,68,-1,0
274,307,262,69,-1,0
275,308,263,-1,-1,0
275,309,263,-1,-1,0
276,310,264,-1,-1,0
277,311,265,-1,-1,0
278,312,266,70,-1,0
279,312,266,70,-1,0
280,313,267,-1,-1,0
281,314,268,-1,-1,0
282,315,269,-1,-1,0
283,316,270,71,-1,0
284,317,271,-1,-1,0
285,318,272,-1,-1,0
286,319,273,72,-1,0
287,320,274,-1,-1,0
287,321,274,-1,-1,0
288,322,275,72,-1,0
289,323,276,-1,-1,0
290,324,277,-1,-1,0
291,325,278,73,-1,0
292,326,279,-1,-1,0
293,327,280,74,-1,0
294,327,280,74,-1,0
295,328,281,-1,-1,0
295,329,281,-1,-1,0
296,330,282,75,-1,0
297,331,283,-1,-1,0
297,332,283,-1,-1,0
297,333,283,-1,-1,0
298,334,284,76,-1,0
299,335,285,-1,-1,0
300,336,286,77,-1,0
301,337,287,78,-1,0
302,338,288,-1,-1,0
303,339,289,-1,-1,0
303,340,289,-1,-1,0
304,341,290,-1,-1,0
305,342,291,-1,-1,0
306,343,292,78,-1,0
307,344,293,-1,-1,0
308,345,294,-1,-1,0
308,346,294,-1,-1,0
309,347,295,78,-1,0
310,348,296,79,-1,0
311,349,297,-1,-1,0
312,350,298,79,-1,0
313,351,299,-1,-1,0
314,352,300,-1,-1,0
315,353,301,80,-1,0
316,354,302,-1,-1,0
317,355,303,-1,-1,0
318,356,304,-1,-1,0
319,357,305,80,-1,0
320,358,306,81,-1,0
321,359,307,-1,-1,0
322,360,308,82,-1,0
323,361,309,-1,-1,0
323,362,309,-1,-1,0
324,363,310,-1,-1,0
325,364,311,-1,-1,0
326,365,312,82,-1,0
327,365,312,82,-1,0
328,366,313,83,-1,0
329,367,314,-1,-1,0
330,368,315,84,-1,0
331,369,316,-1,-1,0
332,370,317,-1,-1,0
332,371,317,-1,-1,0
333,372,318,-1,-1,0
334,373,319,-1,-1,0
335,374,320,-1,-1,0
335,375,320,-1,-1,0
336,376,321,85,-1,0
337,377,322,-1,-1,0
338,378,323,86,-1,0
339,379,324,-1,-1,0
340,380,325,86,-1,0
341,381,326,-1,-1,0
342,382,327,86,-1,0
343,383,328,-1,-1,0
344,384,329,-1,-1,0
345,385,330,87,-1,0
346,386,331,-1,-1,0
347,387,332,88,-1,0
348,388,333,-1,-1,0
348,388,333,-1,-1,0
349,389,334,-1,-1,0
350,390,335,-1,-1,0
351,391,336,-1,-1,0
352,392,337,89,-1,0
353,393,338,90,-1,0
354,394,339,-1,-1,0
355,395,340,90,-1,0
356,396,341,-1,-1,0
356,397,341,-1,-1,0
356,398,341,-1,-1,0
357,399,342,91,-1,0
358,400,343,92,-1,0
359,401,344,-1,-1,0
359,402,344,-1,-1,0
360,403,345,92,-1,0
361,404,346,93,-1,0
362,405,347,-1,-1,0
363,406,348,-1,-1,0
363,407,348,-1,-1,0
364,408,349,-1,-1,0
365,409,350,94,-1,0
366,410,351,-1,-1,0
367,411,352,94,-1,0
368,411,352,94,-1,0
369,412,353,95,-1,0
370,413,354,-1,-1,0
371,414,355,-1,-1,0
371,415,355,-1,-1,0
