recipeinstructions,author,recipeingredient,datepublished,recipeyield,preptime,cooktime,recipecategory,totaltime,recipecuisine,aggregaterating,nutrition,mainentityofpage,ispartof
0,0,-1,1631,-1,1139,1264,-1,1569,342,0,-1,0,0
0,0,-1,1632,-1,1140,1265,-1,1570,343,0,-1,0,0
0,0,-1,1633,-1,1140,1265,-1,1570,344,0,-1,0,0
0,0,-1,1634,-1,1141,1266,-1,1571,344,0,-1,0,0
0,0,-1,1635,-1,1142,1267,-1,1572,344,0,-1,0,0
0,0,-1,1636,-1,1143,1268,-1,1572,344,0,-1,0,0
0,0,-1,1637,-1,1144,1268,-1,1573,344,0,-1,0,0
0,0,-1,1638,-1,1145,1269,-1,1574,344,0,-1,0,0
0,0,-1,1639,-1,1146,1270,-1,1575,344,0,-1,0,0
0,0,-1,1640,-1,1147,1271,-1,1576,344,0,-1,0,0
0,0,-1,1641,-1,1148,1272,-1,1577,344,0,-1,0,0
0,0,-1,1642,-1,1149,1272,-1,1577,344,0,-1,0,0
0,0,-1,1643,-1,1150,1273,-1,1578,344,0,-1,0,0
0,0,-1,1644,-1,1150,1274,-1,1579,-1,0,-1,0,0
0,0,-1,1645,-1,1150,1275,-1,1580,-1,0,-1,0,0
0,0,-1,1646,-1,1150,1276,227,1581,345,0,-1,0,0
0,0,-1,1647,-1,1151,1277,-1,1582,346,0,-1,0,0
0,0,-1,1648,-1,1151,-1,-1,1583,347,0,-1,0,0
0,0,-1,1649,-1,1151,1278,-1,1584,347,0,-1,0,0
0,0,-1,1650,-1,1152,1279,-1,1585,347,0,-1,0,0
0,0,-1,1651,-1,1153,1280,-1,1586,347,0,-1,0,0
0,0,-1,1652,-1,1154,1281,-1,1587,347,0,-1,0,0
0,0,-1,1653,-1,1154,1282,-1,1588,347,0,-1,0,0
0,0,-1,1654,-1,1155,1283,-1,1589,347,0,-1,0,0
0,0,-1,1655,-1,1156,-1,228,1590,347,0,-1,0,0
